-----------EB Tester Software-----------
Device:EBC-A20
Mode:C-CV  2.00A  4.25V
Begin Volt:4.077V
Cutoff Volt:4.250V
Capacity:463mAh
Energy:1953mWh
Avg Volt:4.22V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,4.077
0,0.00,4.077
1,2.00,4.127
3,2.00,4.128
5,2.00,4.130
7,2.00,4.135
9,2.00,4.135
11,2.00,4.136
13,2.00,4.136
15,2.00,4.136
17,2.00,4.138
19,2.00,4.142
21,2.00,4.143
23,2.00,4.143
25,2.00,4.143
27,2.00,4.144
29,2.00,4.144
31,2.00,4.144
33,2.00,4.144
35,2.00,4.144
37,2.00,4.144
39,2.00,4.145
41,2.00,4.146
43,2.00,4.148
45,2.00,4.149
47,2.00,4.150
49,2.00,4.150
51,2.00,4.150
53,2.00,4.150
55,2.00,4.150
57,2.00,4.150
59,2.00,4.150
61,2.00,4.150
63,2.00,4.150
65,2.00,4.150
67,2.00,4.150
69,2.00,4.151
71,2.00,4.151
73,2.00,4.151
75,2.00,4.151
77,2.00,4.151
79,2.00,4.151
81,2.00,4.151
83,2.00,4.151
85,2.00,4.151
87,2.00,4.151
89,2.00,4.152
91,2.00,4.153
93,2.00,4.154
95,2.00,4.155
97,2.00,4.155
99,2.00,4.156
101,2.00,4.156
103,2.00,4.157
105,2.00,4.157
107,2.00,4.157
109,2.00,4.157
111,2.00,4.157
113,2.00,4.157
115,2.00,4.157
117,2.00,4.157
119,2.00,4.157
121,2.00,4.157
123,2.00,4.157
125,2.00,4.157
127,2.00,4.157
129,2.00,4.157
131,2.00,4.158
133,2.00,4.158
135,2.00,4.158
137,2.00,4.158
139,2.00,4.158
141,2.00,4.158
143,2.00,4.158
145,2.00,4.158
147,2.00,4.158
149,2.00,4.158
151,2.00,4.158
153,2.00,4.158
155,2.00,4.158
157,2.00,4.158
159,2.00,4.159
161,2.00,4.159
163,2.00,4.160
165,2.00,4.161
167,2.00,4.162
169,2.00,4.163
171,2.00,4.163
173,2.00,4.164
175,2.00,4.165
177,2.00,4.165
179,2.00,4.165
181,2.00,4.165
183,2.00,4.165
185,2.00,4.165
187,2.00,4.165
189,2.00,4.165
191,2.00,4.165
193,2.00,4.165
195,2.00,4.165
197,2.00,4.165
199,2.00,4.165
201,2.00,4.165
203,2.00,4.166
205,2.00,4.166
207,2.00,4.166
209,2.00,4.166
211,2.00,4.166
213,2.00,4.166
215,2.00,4.166
217,2.00,4.166
219,2.00,4.166
221,2.00,4.166
223,2.00,4.166
225,2.00,4.166
227,2.00,4.166
229,2.00,4.166
231,2.00,4.166
233,2.00,4.166
235,2.00,4.166
237,2.00,4.167
239,2.00,4.168
241,2.00,4.169
243,2.00,4.170
245,2.00,4.170
247,2.00,4.171
249,2.00,4.172
251,2.00,4.172
253,2.00,4.172
255,2.00,4.172
257,2.00,4.172
259,2.00,4.172
261,2.00,4.172
263,2.00,4.172
265,2.00,4.172
267,2.00,4.172
269,2.00,4.172
271,2.00,4.173
273,2.00,4.173
275,2.00,4.173
277,2.00,4.173
279,2.00,4.173
281,2.00,4.173
283,2.00,4.173
285,2.00,4.173
287,2.00,4.173
289,2.00,4.173
291,2.00,4.173
293,2.00,4.174
295,2.00,4.174
297,2.00,4.175
299,2.00,4.176
301,2.00,4.176
303,2.00,4.177
305,2.00,4.178
307,2.00,4.179
309,2.00,4.179
311,2.00,4.179
313,2.00,4.179
315,2.00,4.179
317,2.00,4.179
319,2.00,4.179
321,2.00,4.179
323,2.00,4.179
325,2.00,4.179
327,2.00,4.179
329,2.00,4.179
331,2.00,4.180
333,2.00,4.180
335,2.00,4.180
337,2.00,4.180
339,2.00,4.180
341,2.00,4.180
343,2.00,4.180
345,2.00,4.180
347,2.00,4.180
349,2.00,4.180
351,2.00,4.180
353,2.00,4.181
355,2.00,4.182
357,2.00,4.184
359,2.00,4.185
361,2.00,4.186
363,2.00,4.187
365,2.00,4.187
367,2.00,4.187
369,2.00,4.187
371,2.00,4.187
373,2.00,4.187
375,2.00,4.187
377,2.00,4.187
379,2.00,4.187
381,2.00,4.187
383,2.00,4.187
385,2.00,4.187
387,2.00,4.187
389,2.00,4.187
391,2.00,4.187
393,2.00,4.187
395,2.00,4.187
397,2.00,4.188
399,2.00,4.189
401,2.00,4.190
403,2.00,4.191
405,2.00,4.193
407,2.00,4.194
409,2.00,4.194
411,2.00,4.194
413,2.00,4.194
415,2.00,4.194
417,2.00,4.194
419,2.00,4.194
421,2.00,4.194
423,2.00,4.194
425,2.00,4.195
427,2.00,4.195
429,2.00,4.195
431,2.00,4.195
433,2.00,4.195
435,2.00,4.195
437,2.00,4.195
439,2.00,4.195
441,2.00,4.196
443,2.00,4.197
445,2.00,4.198
447,2.00,4.199
449,2.00,4.200
451,2.00,4.201
453,2.00,4.201
455,2.00,4.201
457,2.00,4.201
459,2.00,4.201
461,2.00,4.202
463,2.00,4.202
465,2.00,4.202
467,2.00,4.202
469,2.00,4.202
471,2.00,4.202
473,2.00,4.202
475,2.00,4.203
477,2.00,4.205
479,2.00,4.207
481,2.00,4.208
483,2.00,4.208
485,2.00,4.208
487,2.00,4.208
489,2.00,4.208
491,2.00,4.208
493,2.00,4.208
495,2.00,4.208
497,2.00,4.209
499,2.00,4.209
501,2.00,4.209
503,2.00,4.209
505,2.00,4.209
507,2.00,4.210
509,2.00,4.212
511,2.00,4.214
513,2.00,4.215
515,2.00,4.216
517,2.00,4.216
519,2.00,4.216
521,2.00,4.216
523,2.00,4.216
525,2.00,4.217
527,2.00,4.217
529,2.00,4.217
531,2.00,4.217
533,2.00,4.217
535,2.00,4.217
537,2.00,4.218
539,2.00,4.220
541,2.00,4.222
543,2.00,4.223
545,2.00,4.223
547,2.00,4.223
549,2.00,4.223
551,2.00,4.223
553,2.00,4.224
555,2.00,4.224
557,2.00,4.224
559,2.00,4.224
561,2.00,4.224
563,2.00,4.224
565,2.00,4.225
567,2.00,4.228
569,2.00,4.229
571,2.00,4.230
573,2.00,4.230
575,2.00,4.230
577,2.00,4.230
579,2.00,4.230
581,2.00,4.231
583,2.00,4.231
585,2.00,4.231
587,2.00,4.231
589,2.00,4.232
591,2.00,4.235
593,2.00,4.237
595,2.00,4.238
597,2.00,4.238
599,2.00,4.238
601,2.00,4.238
603,2.00,4.238
605,2.00,4.239
607,2.00,4.239
609,2.00,4.239
611,2.00,4.239
613,2.00,4.240
615,2.00,4.243
617,2.00,4.250
619,2.00,4.250
621,2.00,4.250
623,2.00,4.250
625,2.00,4.250
627,2.00,4.250
629,2.00,4.250
631,2.00,4.250
633,2.00,4.250
635,1.99,4.250
637,1.97,4.250
639,1.94,4.250
641,1.92,4.250
643,1.90,4.250
645,1.89,4.250
