-----------EB Tester Software-----------
Device:EBC-A20
Mode:D-CC  0.15A  2.45V
Begin Volt:4.230V
Cutoff Volt:2.450V
Capacity:4526mAh
Energy:16.55Wh
Avg Volt:3.66V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,4.230
2,0.15,4.224
4,0.15,4.224
6,0.15,4.224
8,0.15,4.224
10,0.15,4.224
12,0.15,4.224
14,0.15,4.224
16,0.15,4.224
18,0.15,4.224
20,0.15,4.224
22,0.15,4.224
24,0.15,4.224
26,0.15,4.223
28,0.15,4.224
30,0.15,4.224
32,0.15,4.223
34,0.15,4.223
36,0.15,4.223
38,0.15,4.223
40,0.15,4.223
42,0.15,4.223
44,0.15,4.223
46,0.15,4.223
48,0.15,4.223
50,0.15,4.223
52,0.15,4.223
54,0.15,4.223
56,0.15,4.223
58,0.15,4.223
60,0.15,4.223
62,0.15,4.223
64,0.15,4.223
66,0.15,4.223
68,0.15,4.223
70,0.15,4.223
72,0.15,4.223
74,0.15,4.223
76,0.15,4.223
78,0.15,4.223
80,0.15,4.223
82,0.15,4.223
84,0.15,4.223
86,0.15,4.222
88,0.15,4.222
90,0.15,4.221
92,0.15,4.221
94,0.15,4.221
96,0.15,4.220
98,0.15,4.220
100,0.15,4.219
102,0.15,4.219
104,0.15,4.219
106,0.15,4.219
108,0.15,4.219
110,0.15,4.218
112,0.15,4.218
114,0.15,4.217
116,0.15,4.217
118,0.15,4.217
120,0.15,4.217
122,0.15,4.217
124,0.15,4.217
126,0.15,4.217
128,0.15,4.217
130,0.15,4.217
132,0.15,4.217
134,0.15,4.217
136,0.15,4.217
138,0.15,4.217
140,0.15,4.217
142,0.15,4.217
144,0.15,4.217
146,0.15,4.217
148,0.15,4.217
150,0.15,4.217
152,0.15,4.217
154,0.15,4.217
156,0.15,4.217
158,0.15,4.217
160,0.15,4.217
162,0.15,4.217
164,0.15,4.217
166,0.15,4.217
168,0.15,4.217
170,0.15,4.217
172,0.15,4.217
174,0.15,4.217
176,0.15,4.217
178,0.15,4.217
180,0.15,4.217
182,0.15,4.217
184,0.15,4.217
186,0.15,4.217
188,0.15,4.217
190,0.15,4.217
192,0.15,4.217
194,0.15,4.217
196,0.15,4.217
198,0.15,4.217
200,0.15,4.217
202,0.15,4.217
204,0.15,4.217
206,0.15,4.217
208,0.15,4.217
210,0.15,4.217
212,0.15,4.217
214,0.15,4.217
216,0.15,4.216
218,0.15,4.217
220,0.15,4.217
222,0.15,4.217
224,0.15,4.217
226,0.15,4.217
228,0.15,4.216
230,0.15,4.216
232,0.15,4.216
234,0.15,4.216
236,0.15,4.216
238,0.15,4.216
240,0.15,4.216
242,0.15,4.216
244,0.15,4.216
246,0.15,4.216
248,0.15,4.216
250,0.15,4.216
252,0.15,4.216
254,0.15,4.216
256,0.15,4.216
258,0.15,4.216
260,0.15,4.216
262,0.15,4.216
264,0.15,4.216
266,0.15,4.216
268,0.15,4.216
270,0.15,4.216
272,0.15,4.216
274,0.15,4.216
276,0.15,4.216
278,0.15,4.215
280,0.15,4.215
282,0.15,4.215
284,0.15,4.215
286,0.15,4.214
288,0.15,4.214
290,0.15,4.213
292,0.15,4.213
294,0.15,4.212
296,0.15,4.212
298,0.15,4.211
300,0.15,4.211
302,0.15,4.211
304,0.15,4.210
306,0.15,4.210
308,0.15,4.210
310,0.15,4.210
312,0.15,4.209
314,0.15,4.209
316,0.15,4.209
318,0.15,4.209
320,0.15,4.209
322,0.15,4.209
324,0.15,4.209
326,0.15,4.209
328,0.15,4.209
330,0.15,4.209
332,0.15,4.209
334,0.15,4.209
336,0.15,4.209
338,0.15,4.209
340,0.15,4.209
342,0.15,4.209
344,0.15,4.209
346,0.15,4.209
348,0.15,4.209
350,0.15,4.209
352,0.15,4.209
354,0.15,4.209
356,0.15,4.209
358,0.15,4.209
360,0.15,4.209
362,0.15,4.209
364,0.15,4.209
366,0.15,4.209
368,0.15,4.209
370,0.15,4.209
372,0.15,4.209
374,0.15,4.209
376,0.15,4.209
378,0.15,4.209
380,0.15,4.209
382,0.15,4.209
384,0.15,4.209
386,0.15,4.209
388,0.15,4.209
390,0.15,4.209
392,0.15,4.209
394,0.15,4.209
396,0.15,4.209
398,0.15,4.209
400,0.15,4.209
402,0.15,4.209
404,0.15,4.209
406,0.15,4.209
408,0.15,4.209
410,0.15,4.209
412,0.15,4.209
414,0.15,4.209
416,0.15,4.209
418,0.15,4.209
420,0.15,4.209
422,0.15,4.209
424,0.15,4.209
