-----------EB Tester Software-----------
Device:EBC-A20
Mode:D-CC  0.50A  2.40V
Begin Volt:2.521V
Cutoff Volt:2.396V
Capacity:4mAh
Energy:10mWh
Avg Volt:2.43V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.521
1,0.50,2.484
3,0.50,2.469
5,0.50,2.462
7,0.50,2.454
9,0.50,2.440
11,0.50,2.434
13,0.50,2.426
15,0.50,2.418
17,0.50,2.415
19,0.50,2.410
21,0.50,2.404
22,0.50,2.397
22,0.50,2.397
22,0.00,2.476
23,0.50,2.440
25,0.50,2.426
27,0.50,2.411
29,0.50,2.404
30,0.50,2.396
30,0.50,2.396
