-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,0.237,0.957
*1-2,Wait,0,0
*1-3,D-CC,0.888,3.481
*1-4,Wait,0,0
*1-5,D-CC,1.018,3.781
*1-6,Wait,0,0
*1-7,D-CC,0.722,2.526
*1-8,Wait,0,0
*1-9,C-CV,2.837,11.29
*2-1,D-CC,0.374,1.511
*2-2,Wait,0,0
*2-3,D-CC,0.890,3.487
*2-4,Wait,0,0
*2-5,D-CC,0.929,3.447
*2-6,Wait,0,0
*2-7,D-CC,0.728,2.548
*2-8,Wait,0,0
*2-9,C-CV,2.892,11.48
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,4.179
0,0.00,4.179
1,2.00,4.108
3,2.00,4.101
5,2.00,4.100
7,2.00,4.098
9,2.00,4.092
11,2.00,4.092
13,2.00,4.092
15,2.00,4.092
17,2.00,4.088
19,2.00,4.085
21,2.00,4.085
23,2.00,4.084
25,2.00,4.084
27,2.00,4.083
29,2.00,4.081
31,2.00,4.078
33,2.00,4.078
35,2.00,4.078
37,2.00,4.078
39,2.00,4.077
41,2.00,4.077
43,2.00,4.077
45,2.00,4.076
47,2.00,4.074
49,2.00,4.071
51,2.00,4.070
53,2.00,4.070
55,2.00,4.070
57,2.00,4.070
59,2.00,4.070
61,2.00,4.070
63,2.00,4.070
65,2.00,4.067
67,2.00,4.066
69,2.00,4.064
71,2.00,4.063
73,2.00,4.063
75,2.00,4.063
77,2.00,4.063
79,2.00,4.063
81,2.00,4.062
83,2.00,4.062
85,2.00,4.062
87,2.00,4.062
89,2.00,4.060
91,2.00,4.059
93,2.00,4.058
95,2.00,4.056
97,2.00,4.056
99,2.00,4.056
101,2.00,4.056
103,2.00,4.056
105,2.00,4.056
107,2.00,4.055
109,2.00,4.055
111,2.00,4.055
113,2.00,4.054
115,2.00,4.052
117,2.00,4.050
119,2.00,4.049
121,2.00,4.049
123,2.00,4.049
125,2.00,4.049
127,2.00,4.049
129,2.00,4.049
131,2.00,4.048
133,2.00,4.048
135,2.00,4.048
137,2.00,4.048
139,2.00,4.048
141,2.00,4.048
143,2.00,4.047
145,2.00,4.045
147,2.00,4.044
149,2.00,4.042
151,2.00,4.041
153,2.00,4.041
155,2.00,4.041
157,2.00,4.041
159,2.00,4.041
161,2.00,4.041
163,2.00,4.041
165,2.00,4.040
167,2.00,4.040
169,2.00,4.040
171,2.00,4.040
173,2.00,4.040
175,2.00,4.039
177,2.00,4.038
179,2.00,4.037
181,2.00,4.036
183,2.00,4.035
185,2.00,4.034
187,2.00,4.034
189,2.00,4.034
191,2.00,4.034
193,2.00,4.034
195,2.00,4.034
197,2.00,4.034
199,2.00,4.033
201,2.00,4.033
203,2.00,4.033
205,2.00,4.033
207,2.00,4.033
209,2.00,4.033
211,2.00,4.032
213,2.00,4.032
215,2.00,4.030
217,2.00,4.029
219,2.00,4.028
221,2.00,4.028
223,2.00,4.027
225,2.00,4.027
227,2.00,4.027
229,2.00,4.027
231,2.00,4.027
233,2.00,4.027
235,2.00,4.027
237,2.00,4.027
239,2.00,4.027
241,2.00,4.026
243,2.00,4.026
245,2.00,4.026
247,2.00,4.026
249,2.00,4.026
251,2.00,4.025
253,2.00,4.024
255,2.00,4.023
257,2.00,4.022
259,2.00,4.022
261,2.00,4.021
263,2.00,4.020
265,2.00,4.019
267,2.00,4.019
269,2.00,4.019
271,2.00,4.019
273,2.00,4.019
275,2.00,4.019
277,2.00,4.019
279,2.00,4.019
281,2.00,4.019
283,2.00,4.019
285,2.00,4.018
287,2.00,4.018
289,2.00,4.018
291,2.00,4.018
293,2.00,4.018
295,2.00,4.018
297,2.00,4.018
299,2.00,4.018
301,2.00,4.017
303,2.00,4.017
