-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,3.275,12.03
*1-2,Wait,0,0
*1-3,D-CC,0.314,0.973
*1-4,Wait,0,0
*1-5,D-CC,0.205,0.598
*1-6,Wait,0,0
*1-7,D-CC,0.086,0.236
*1-8,Wait,0,0
*1-9,D-CC,0.056,0.146
*1-10,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,4.179
0,0.00,4.179
1,3.00,4.082
3,3.00,4.074
5,3.00,4.070
7,3.00,4.067
9,3.00,4.063
11,3.00,4.062
13,3.00,4.060
15,3.00,4.057
17,3.00,4.055
19,3.00,4.055
21,3.00,4.051
23,3.00,4.049
25,3.00,4.049
27,3.00,4.049
29,3.00,4.049
31,3.00,4.048
33,3.00,4.048
35,3.00,4.045
37,3.00,4.043
39,3.00,4.041
41,3.00,4.041
43,3.00,4.040
45,3.00,4.040
47,3.00,4.038
49,3.00,4.036
51,3.00,4.034
53,3.00,4.034
55,3.00,4.033
57,3.00,4.033
59,3.00,4.032
61,3.00,4.030
63,3.00,4.029
65,3.00,4.028
67,3.00,4.027
69,3.00,4.027
71,3.00,4.026
73,3.00,4.025
75,3.00,4.024
77,3.00,4.021
79,3.00,4.021
81,3.00,4.019
83,3.00,4.019
85,3.00,4.019
87,3.00,4.019
89,3.00,4.018
91,3.00,4.018
93,3.00,4.018
95,3.00,4.017
97,3.00,4.015
99,3.00,4.015
101,3.00,4.014
103,3.00,4.012
105,3.00,4.012
107,3.00,4.012
109,3.00,4.012
111,3.00,4.011
113,3.00,4.011
115,3.00,4.011
117,3.00,4.010
119,3.00,4.008
121,3.00,4.008
123,3.00,4.007
125,3.00,4.006
127,3.00,4.005
129,3.00,4.005
131,3.00,4.005
133,3.00,4.005
135,3.00,4.004
137,3.00,4.004
139,3.00,4.004
141,3.00,4.004
143,3.00,4.003
145,3.00,4.002
147,3.00,4.001
149,3.00,4.000
151,3.00,3.999
153,3.00,3.998
155,3.00,3.997
157,3.00,3.997
159,3.00,3.997
161,3.00,3.997
163,3.00,3.997
165,3.00,3.996
167,3.00,3.996
169,3.00,3.996
171,3.00,3.996
173,3.00,3.996
175,3.00,3.995
177,3.00,3.993
179,3.00,3.993
181,3.00,3.992
183,3.00,3.991
185,3.00,3.990
187,3.00,3.990
189,3.00,3.990
191,3.00,3.990
193,3.00,3.990
195,3.00,3.989
197,3.00,3.989
199,3.00,3.989
201,3.00,3.989
203,3.00,3.989
205,3.00,3.989
207,3.00,3.989
209,3.00,3.988
211,3.00,3.987
213,3.00,3.987
215,3.00,3.985
217,3.00,3.985
219,3.00,3.985
221,3.00,3.984
223,3.00,3.983
225,3.00,3.983
227,3.00,3.983
229,3.00,3.983
231,3.00,3.983
233,3.00,3.983
235,3.00,3.982
237,3.00,3.982
239,3.00,3.982
241,3.00,3.982
243,3.00,3.982
245,3.00,3.982
247,3.00,3.982
249,3.00,3.981
251,3.00,3.980
253,3.00,3.979
255,3.00,3.978
257,3.00,3.978
259,3.00,3.978
261,3.00,3.977
263,3.00,3.976
265,3.00,3.976
267,3.00,3.975
269,3.00,3.975
271,3.00,3.975
273,3.00,3.975
275,3.00,3.975
277,3.00,3.975
279,3.00,3.975
281,3.00,3.975
283,3.00,3.975
285,3.00,3.975
287,3.00,3.975
289,3.00,3.975
291,3.00,3.975
293,3.00,3.975
295,3.00,3.975
297,3.00,3.975
299,3.00,3.974
301,3.00,3.973
303,3.00,3.973
305,3.00,3.972
307,3.00,3.972
309,3.00,3.972
311,3.00,3.971
313,3.00,3.970
315,3.00,3.970
317,3.00,3.970
319,3.00,3.969
321,3.00,3.968
323,3.00,3.968
325,3.00,3.968
327,3.00,3.968
329,3.00,3.968
