-----------EB Tester Software-----------
Device:EBC-A20
Mode:C-CV  4.00A  4.25V
Begin Volt:3.420V
Cutoff Volt:4.250V
Capacity:3562mAh
Energy:14.06Wh
Avg Volt:3.95V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.420
0,0.00,3.420
2,4.00,3.485
4,4.00,3.488
6,4.00,3.492
8,4.00,3.493
10,4.00,3.496
12,4.00,3.499
14,4.00,3.500
16,4.00,3.502
18,4.00,3.505
20,4.00,3.507
22,4.00,3.507
24,4.00,3.507
26,4.00,3.508
28,4.00,3.508
30,4.00,3.508
32,4.00,3.509
34,4.00,3.511
36,4.00,3.512
38,4.00,3.513
40,4.00,3.514
42,4.00,3.514
44,4.00,3.514
46,4.00,3.514
48,4.00,3.515
50,4.00,3.515
52,4.00,3.515
54,4.00,3.515
56,4.00,3.515
58,4.00,3.516
60,4.00,3.517
62,4.00,3.518
64,4.00,3.519
66,4.00,3.519
68,4.00,3.520
70,4.00,3.520
72,4.00,3.521
74,4.00,3.521
76,4.00,3.521
78,4.00,3.521
80,4.00,3.521
82,4.00,3.522
84,4.00,3.522
86,4.00,3.522
88,4.00,3.522
90,4.00,3.522
92,4.00,3.522
94,4.00,3.523
96,4.00,3.524
98,4.00,3.525
100,4.00,3.526
102,4.00,3.527
104,4.00,3.527
106,4.00,3.528
108,4.00,3.529
110,4.00,3.529
112,4.00,3.529
114,4.00,3.529
116,4.00,3.529
118,4.00,3.529
120,4.00,3.529
122,4.00,3.529
124,4.00,3.530
126,4.00,3.530
128,4.00,3.531
130,4.00,3.532
132,4.00,3.533
134,4.00,3.534
136,4.00,3.534
138,4.00,3.535
140,4.00,3.536
142,4.00,3.536
144,4.00,3.536
146,4.00,3.536
148,4.00,3.537
150,4.00,3.537
152,4.00,3.537
154,4.00,3.537
156,4.00,3.537
158,4.00,3.538
160,4.00,3.539
162,4.00,3.540
164,4.00,3.540
166,4.00,3.540
168,4.00,3.541
170,4.00,3.542
172,4.00,3.543
174,4.00,3.543
176,4.00,3.543
178,4.00,3.543
180,4.00,3.543
182,4.00,3.544
184,4.00,3.544
186,4.00,3.544
188,4.00,3.545
190,4.00,3.545
192,4.00,3.546
194,4.00,3.547
196,4.00,3.548
198,4.00,3.549
200,4.00,3.549
202,4.00,3.550
204,4.00,3.550
206,4.00,3.550
208,4.00,3.550
210,4.00,3.550
212,4.00,3.550
214,4.00,3.550
216,4.00,3.551
218,4.00,3.551
220,4.00,3.551
222,4.00,3.552
224,4.00,3.552
226,4.00,3.553
228,4.00,3.554
230,4.00,3.555
232,4.00,3.556
234,4.00,3.557
236,4.00,3.557
238,4.00,3.558
240,4.00,3.558
242,4.00,3.558
244,4.00,3.559
246,4.00,3.559
248,4.00,3.559
250,4.00,3.560
252,4.00,3.560
254,4.00,3.561
256,4.00,3.561
258,4.00,3.562
260,4.00,3.563
262,4.00,3.563
264,4.00,3.564
266,4.00,3.565
268,4.00,3.565
270,4.00,3.565
272,4.00,3.565
274,4.00,3.566
276,4.00,3.566
278,4.00,3.566
280,4.00,3.566
282,4.00,3.567
284,4.00,3.568
286,4.00,3.568
288,4.00,3.569
290,4.00,3.570
292,4.00,3.571
294,4.00,3.572
296,4.00,3.572
298,4.00,3.572
300,4.00,3.572
302,4.00,3.572
304,4.00,3.573
306,4.00,3.573
308,4.00,3.573
310,4.00,3.573
312,4.00,3.574
314,4.00,3.575
316,4.00,3.576
318,4.00,3.577
320,4.00,3.578
322,4.00,3.579
324,4.00,3.579
326,4.00,3.580
328,4.00,3.580
330,4.00,3.580
332,4.00,3.580
334,4.00,3.581
336,4.00,3.581
338,4.00,3.581
340,4.00,3.581
342,4.00,3.582
344,4.00,3.582
346,4.00,3.583
348,4.00,3.584
350,4.00,3.585
352,4.00,3.586
354,4.00,3.587
356,4.00,3.587
358,4.00,3.587
360,4.00,3.588
362,4.00,3.588
364,4.00,3.588
366,4.00,3.589
368,4.00,3.590
370,4.00,3.591
372,4.00,3.592
374,4.00,3.593
376,4.00,3.593
378,4.00,3.594
380,4.00,3.594
382,4.00,3.594
384,4.00,3.595
386,4.00,3.595
388,4.00,3.595
390,4.00,3.595
392,4.00,3.596
394,4.00,3.597
396,4.00,3.598
398,4.00,3.599
400,4.00,3.600
402,4.00,3.601
404,4.00,3.602
406,4.00,3.602
408,4.00,3.602
410,4.00,3.603
412,4.00,3.603
414,4.00,3.603
416,4.00,3.604
418,4.00,3.604
420,4.00,3.605
422,4.00,3.606
424,4.00,3.607
426,4.00,3.609
428,4.00,3.609
430,4.00,3.609
432,4.00,3.609
434,4.00,3.609
436,4.00,3.610
438,4.00,3.610
440,4.00,3.610
442,4.00,3.610
444,4.00,3.611
446,4.00,3.613
448,4.00,3.614
450,4.00,3.614
452,4.00,3.615
454,4.00,3.616
456,4.00,3.616
458,4.00,3.616
460,4.00,3.617
462,4.00,3.617
464,4.00,3.618
466,4.00,3.619
468,4.00,3.620
470,4.00,3.622
472,4.00,3.623
474,4.00,3.623
476,4.00,3.624
478,4.00,3.624
480,4.00,3.624
482,4.00,3.625
484,4.00,3.625
486,4.00,3.625
488,4.00,3.625
490,4.00,3.626
492,4.00,3.627
494,4.00,3.628
496,4.00,3.629
498,4.00,3.630
500,4.00,3.631
502,4.00,3.631
504,4.00,3.631
506,4.00,3.632
508,4.00,3.632
510,4.00,3.632
512,4.00,3.633
514,4.00,3.634
516,4.00,3.635
518,4.00,3.635
520,4.00,3.636
522,4.00,3.637
524,4.00,3.638
526,4.00,3.638
528,4.00,3.638
530,4.00,3.639
532,4.00,3.639
534,4.00,3.639
536,4.00,3.639
538,4.00,3.640
540,4.00,3.641
542,4.00,3.642
544,4.00,3.643
546,4.00,3.644
548,4.00,3.645
550,4.00,3.646
552,4.00,3.646
554,4.00,3.646
556,4.00,3.646
558,4.00,3.646
560,4.00,3.647
562,4.00,3.648
564,4.00,3.648
566,4.00,3.649
568,4.00,3.651
570,4.00,3.652
572,4.00,3.652
574,4.00,3.653
576,4.00,3.653
578,4.00,3.653
580,4.00,3.654
582,4.00,3.654
584,4.00,3.654
586,4.00,3.655
588,4.00,3.656
590,4.00,3.657
592,4.00,3.657
594,4.00,3.658
596,4.00,3.659
598,4.00,3.660
600,4.00,3.660
602,4.00,3.660
604,4.00,3.661
606,4.00,3.661
608,4.00,3.661
610,4.00,3.662
612,4.00,3.663
614,4.00,3.664
616,4.00,3.665
618,4.00,3.666
620,4.00,3.667
622,4.00,3.667
624,4.00,3.667
626,4.00,3.667
628,4.00,3.667
630,4.00,3.668
632,4.00,3.668
634,4.00,3.668
636,4.00,3.669
638,4.00,3.669
640,4.00,3.670
642,4.00,3.671
644,4.00,3.672
646,4.00,3.674
648,4.00,3.674
650,4.00,3.675
652,4.00,3.675
654,4.00,3.676
656,4.00,3.676
658,4.00,3.677
660,4.00,3.678
662,4.00,3.678
664,4.00,3.679
666,4.00,3.679
668,4.00,3.680
670,4.00,3.681
672,4.00,3.682
674,4.00,3.682
676,4.00,3.682
678,4.00,3.682
680,4.00,3.683
682,4.00,3.683
684,4.00,3.683
686,4.00,3.684
688,4.00,3.685
690,4.00,3.686
692,4.00,3.687
694,4.00,3.688
696,4.00,3.688
698,4.00,3.689
700,4.00,3.689
702,4.00,3.689
704,4.00,3.690
706,4.00,3.690
708,4.00,3.690
710,4.00,3.690
712,4.00,3.691
714,4.00,3.692
716,4.00,3.693
718,4.00,3.694
720,4.00,3.695
722,4.00,3.696
724,4.00,3.696
726,4.00,3.697
728,4.00,3.697
730,4.00,3.697
732,4.00,3.697
734,4.00,3.698
736,4.00,3.698
738,4.00,3.698
740,4.00,3.698
742,4.00,3.699
744,4.00,3.699
746,4.00,3.700
748,4.00,3.701
750,4.00,3.702
752,4.00,3.702
754,4.00,3.703
756,4.00,3.704
758,4.00,3.704
760,4.00,3.704
762,4.00,3.705
764,4.00,3.705
766,4.00,3.705
768,4.00,3.706
770,4.00,3.706
772,4.00,3.707
774,4.00,3.708
776,4.00,3.709
778,4.00,3.710
780,4.00,3.710
782,4.00,3.710
784,4.00,3.711
786,4.00,3.711
788,4.00,3.711
790,4.00,3.711
792,4.00,3.711
794,4.00,3.712
796,4.00,3.712
798,4.00,3.712
800,4.00,3.712
802,4.00,3.713
804,4.00,3.714
806,4.00,3.714
808,4.00,3.715
810,4.00,3.716
812,4.00,3.717
814,4.00,3.717
816,4.00,3.718
818,4.00,3.719
820,4.00,3.719
822,4.00,3.719
824,4.00,3.719
826,4.00,3.720
828,4.00,3.720
830,4.00,3.720
832,4.00,3.720
834,4.00,3.720
836,4.00,3.720
838,4.00,3.721
840,4.00,3.722
842,4.00,3.723
844,4.00,3.724
846,4.00,3.724
848,4.00,3.725
850,4.00,3.725
852,4.00,3.726
854,4.00,3.726
856,4.00,3.726
858,4.00,3.726
860,4.00,3.726
862,4.00,3.726
864,4.00,3.726
866,4.00,3.727
868,4.00,3.727
870,4.00,3.727
872,4.00,3.727
874,4.00,3.728
876,4.00,3.729
878,4.00,3.729
880,4.00,3.730
882,4.00,3.731
884,4.00,3.731
886,4.00,3.732
888,4.00,3.732
890,4.00,3.733
892,4.00,3.733
894,4.00,3.734
896,4.00,3.734
898,4.00,3.735
900,4.00,3.736
902,4.00,3.737
904,4.00,3.737
906,4.00,3.738
908,4.00,3.739
910,4.00,3.740
912,4.00,3.740
914,4.00,3.741
916,4.00,3.741
918,4.00,3.741
920,4.00,3.741
922,4.00,3.741
924,4.00,3.741
926,4.00,3.741
928,4.00,3.741
930,4.00,3.741
932,4.00,3.742
934,4.00,3.743
936,4.00,3.743
938,4.00,3.744
940,4.00,3.745
942,4.00,3.746
944,4.00,3.747
946,4.00,3.747
948,4.00,3.748
950,4.00,3.748
952,4.00,3.748
954,4.00,3.748
956,4.00,3.748
958,4.00,3.749
960,4.00,3.749
962,4.00,3.749
964,4.00,3.749
966,4.00,3.750
968,4.00,3.751
970,4.00,3.752
972,4.00,3.752
974,4.00,3.753
976,4.00,3.753
978,4.00,3.754
980,4.00,3.754
982,4.00,3.755
984,4.00,3.755
986,4.00,3.755
988,4.00,3.755
990,4.00,3.756
992,4.00,3.756
994,4.00,3.756
996,4.00,3.756
998,4.00,3.757
1000,4.00,3.758
1002,4.00,3.758
1004,4.00,3.760
1006,4.00,3.761
1008,4.00,3.761
1010,4.00,3.762
1012,4.00,3.762
1014,4.00,3.763
1016,4.00,3.763
1018,4.00,3.763
1020,4.00,3.763
1022,4.00,3.763
1024,4.00,3.763
1026,4.00,3.763
1028,4.00,3.764
1030,4.00,3.764
1032,4.00,3.765
1034,4.00,3.766
1036,4.00,3.767
1038,4.00,3.768
1040,4.00,3.769
1042,4.00,3.769
1044,4.00,3.770
1046,4.00,3.770
1048,4.00,3.770
1050,4.00,3.770
1052,4.00,3.771
1054,4.00,3.771
1056,4.00,3.771
1058,4.00,3.772
1060,4.00,3.772
1062,4.00,3.773
1064,4.00,3.773
1066,4.00,3.774
1068,4.00,3.775
1070,4.00,3.776
1072,4.00,3.776
1074,4.00,3.777
1076,4.00,3.777
1078,4.00,3.777
1080,4.00,3.778
1082,4.00,3.778
1084,4.00,3.778
1086,4.00,3.778
1088,4.00,3.779
