-----------EB Tester Software-----------
Device:EBC-A20
Mode:C-CV  0.13A  4.20V
Begin Volt:3.515V
Cutoff Volt:4.367V
Capacity:2740mAh
Energy:10.58Wh
Avg Volt:3.86V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.515
0,0.00,3.515
1,0.13,3.515
3,0.13,3.515
5,0.13,3.515
7,0.13,3.515
9,0.13,3.515
11,0.13,3.515
13,0.13,3.515
15,0.13,3.515
17,0.13,3.516
19,0.13,3.516
21,0.13,3.516
23,0.13,3.516
25,0.13,3.517
27,0.13,3.517
29,0.13,3.518
31,0.13,3.518
33,0.13,3.518
35,0.13,3.519
37,0.13,3.519
39,0.13,3.519
41,0.13,3.519
43,0.13,3.519
45,0.13,3.520
47,0.13,3.520
49,0.13,3.520
51,0.13,3.520
53,0.13,3.521
55,0.13,3.521
57,0.13,3.521
59,0.13,3.521
61,0.13,3.521
63,0.13,3.521
65,0.13,3.521
67,0.13,3.521
69,0.13,3.521
71,0.13,3.521
73,0.13,3.521
75,0.13,3.521
77,0.13,3.521
79,0.13,3.521
81,0.13,3.521
83,0.13,3.521
85,0.13,3.521
87,0.13,3.521
89,0.13,3.521
91,0.13,3.521
93,0.13,3.521
95,0.13,3.521
97,0.13,3.521
99,0.13,3.521
101,0.13,3.521
103,0.13,3.521
105,0.13,3.521
107,0.13,3.522
109,0.13,3.521
111,0.13,3.521
113,0.13,3.521
115,0.13,3.521
117,0.13,3.521
119,0.13,3.521
121,0.13,3.521
123,0.13,3.522
125,0.13,3.521
127,0.13,3.522
129,0.13,3.522
131,0.13,3.522
133,0.13,3.522
135,0.13,3.522
137,0.13,3.522
139,0.13,3.522
141,0.13,3.522
143,0.13,3.522
145,0.13,3.521
147,0.13,3.522
149,0.13,3.522
151,0.13,3.522
153,0.13,3.522
155,0.13,3.522
157,0.13,3.522
159,0.13,3.522
161,0.13,3.522
163,0.13,3.522
165,0.13,3.522
167,0.13,3.522
169,0.13,3.522
171,0.13,3.522
173,0.13,3.522
175,0.13,3.522
177,0.13,3.522
179,0.13,3.522
181,0.13,3.522
183,0.13,3.522
185,0.13,3.522
187,0.13,3.522
189,0.13,3.522
191,0.13,3.522
193,0.13,3.522
195,0.13,3.522
197,0.13,3.522
199,0.13,3.522
201,0.13,3.522
203,0.13,3.522
205,0.13,3.522
207,0.13,3.522
209,0.13,3.522
211,0.13,3.522
213,0.13,3.522
215,0.13,3.522
217,0.13,3.522
219,0.13,3.522
221,0.13,3.522
