-----------EB Tester Software-----------
Device:EBC-A20
Mode:C-CV  0.15A  4.20V
Begin Volt:2.650V
Cutoff Volt:4.200V
Capacity:3920mAh
Energy:14.66Wh
Avg Volt:3.74V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.650
0,0.00,2.650
1,0.15,2.657
3,0.15,2.659
5,0.15,2.659
7,0.15,2.666
9,0.15,2.667
11,0.15,2.667
13,0.15,2.673
15,0.15,2.674
17,0.15,2.674
19,0.15,2.679
21,0.15,2.681
23,0.15,2.681
25,0.15,2.682
27,0.15,2.688
29,0.15,2.689
31,0.15,2.689
33,0.15,2.693
35,0.15,2.695
37,0.15,2.696
39,0.15,2.696
41,0.15,2.702
43,0.15,2.703
45,0.15,2.703
47,0.15,2.703
49,0.15,2.708
51,0.15,2.710
53,0.15,2.711
55,0.15,2.711
57,0.15,2.716
59,0.15,2.717
61,0.15,2.718
63,0.15,2.718
65,0.15,2.719
67,0.15,2.724
69,0.15,2.725
71,0.15,2.725
73,0.15,2.725
75,0.15,2.731
77,0.15,2.733
79,0.15,2.733
81,0.15,2.733
83,0.15,2.733
85,0.15,2.737
87,0.15,2.739
89,0.15,2.740
91,0.15,2.740
93,0.15,2.741
95,0.15,2.746
97,0.15,2.747
99,0.15,2.747
101,0.15,2.747
103,0.15,2.747
105,0.15,2.752
107,0.15,2.754
109,0.15,2.755
111,0.15,2.755
113,0.15,2.755
115,0.15,2.756
117,0.15,2.761
119,0.15,2.762
121,0.15,2.762
123,0.15,2.762
125,0.15,2.762
127,0.15,2.764
129,0.15,2.768
131,0.15,2.769
133,0.15,2.769
135,0.15,2.769
137,0.15,2.769
139,0.15,2.772
141,0.15,2.776
143,0.15,2.776
145,0.15,2.776
147,0.15,2.776
149,0.15,2.776
151,0.15,2.776
153,0.15,2.781
155,0.15,2.783
157,0.15,2.784
159,0.15,2.784
161,0.15,2.784
163,0.15,2.784
165,0.15,2.784
167,0.15,2.789
169,0.15,2.790
171,0.15,2.791
173,0.15,2.791
175,0.15,2.791
177,0.15,2.791
179,0.15,2.791
181,0.15,2.791
183,0.15,2.792
185,0.15,2.797
187,0.15,2.797
189,0.15,2.798
191,0.15,2.798
193,0.15,2.798
195,0.15,2.798
197,0.15,2.802
199,0.15,2.805
201,0.15,2.805
203,0.15,2.806
205,0.15,2.806
207,0.15,2.806
209,0.15,2.806
211,0.15,2.806
213,0.15,2.807
215,0.15,2.811
217,0.15,2.812
219,0.15,2.812
221,0.15,2.813
223,0.15,2.813
225,0.15,2.813
227,0.15,2.813
229,0.15,2.813
231,0.15,2.814
233,0.15,2.818
235,0.15,2.819
237,0.15,2.819
239,0.15,2.820
241,0.15,2.820
243,0.15,2.820
245,0.15,2.820
247,0.15,2.820
249,0.15,2.820
251,0.15,2.821
253,0.15,2.824
255,0.15,2.827
257,0.15,2.827
259,0.15,2.828
261,0.15,2.828
263,0.15,2.828
265,0.15,2.828
267,0.15,2.828
269,0.15,2.828
271,0.15,2.828
273,0.15,2.829
275,0.15,2.833
277,0.15,2.834
279,0.15,2.835
281,0.15,2.835
283,0.15,2.834
285,0.15,2.835
287,0.15,2.835
289,0.15,2.835
291,0.15,2.835
293,0.15,2.835
295,0.15,2.836
297,0.15,2.839
299,0.15,2.841
301,0.15,2.841
303,0.15,2.842
305,0.15,2.842
307,0.15,2.842
309,0.15,2.842
311,0.15,2.842
313,0.15,2.842
315,0.15,2.842
317,0.15,2.842
319,0.15,2.843
321,0.15,2.847
323,0.15,2.849
325,0.15,2.849
327,0.15,2.849
329,0.15,2.849
331,0.15,2.850
333,0.15,2.850
335,0.15,2.850
337,0.15,2.850
339,0.15,2.850
341,0.15,2.850
343,0.15,2.850
345,0.15,2.850
347,0.15,2.853
349,0.15,2.856
351,0.15,2.856
353,0.15,2.856
355,0.15,2.856
357,0.15,2.857
359,0.15,2.857
361,0.15,2.857
363,0.15,2.857
365,0.15,2.857
367,0.15,2.857
369,0.15,2.857
371,0.15,2.857
373,0.15,2.860
375,0.15,2.862
377,0.15,2.863
379,0.15,2.863
381,0.15,2.863
383,0.15,2.864
385,0.15,2.863
387,0.15,2.864
389,0.15,2.864
391,0.15,2.864
393,0.15,2.864
395,0.15,2.864
397,0.15,2.864
399,0.15,2.864
401,0.15,2.865
403,0.15,2.868
405,0.15,2.870
407,0.15,2.871
409,0.15,2.871
411,0.15,2.871
413,0.15,2.872
415,0.15,2.872
417,0.15,2.872
419,0.15,2.872
421,0.15,2.872
423,0.15,2.872
425,0.15,2.872
427,0.15,2.872
429,0.15,2.872
431,0.15,2.872
433,0.15,2.875
435,0.15,2.877
437,0.15,2.878
439,0.15,2.878
441,0.15,2.878
443,0.15,2.879
445,0.15,2.879
447,0.15,2.879
449,0.15,2.879
451,0.15,2.879
453,0.15,2.879
455,0.15,2.879
457,0.15,2.879
459,0.15,2.879
461,0.15,2.879
463,0.15,2.879
465,0.15,2.881
467,0.15,2.883
469,0.15,2.885
471,0.15,2.885
473,0.15,2.885
475,0.15,2.885
477,0.15,2.886
479,0.15,2.886
481,0.15,2.886
483,0.15,2.886
485,0.15,2.886
