-----------EB Tester Software-----------
Device:EBC-A20
Mode:C-CV  4.00A  4.25V
Begin Volt:3.661V
Cutoff Volt:3.841V
Capacity:71mAh
Energy:277mWh
Avg Volt:3.91V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.661
0,0.00,3.661
1,4.00,3.819
3,4.00,3.827
5,4.00,3.836
7,4.00,3.844
9,4.00,3.850
11,4.00,3.858
13,4.00,3.864
15,4.00,3.870
17,4.00,3.879
19,4.00,3.889
21,4.00,3.902
23,4.00,3.920
25,4.00,3.943
27,4.00,3.976
29,4.00,4.010
31,4.00,4.016
33,4.00,4.012
35,4.00,4.009
37,4.00,4.011
39,4.00,4.014
41,4.00,4.045
43,4.00,4.081
45,4.00,3.930
47,4.00,3.927
49,4.00,3.925
51,4.00,3.925
53,4.00,3.926
55,4.00,3.927
57,4.00,3.928
59,4.00,3.888
61,4.00,3.843
63,4.00,3.841
64,4.00,3.841
