-----------EB Tester Software-----------
Device:EBC-A20
Mode:C-CV  2.00A  4.25V
Begin Volt:3.698V
Cutoff Volt:4.258V
Capacity:2224mAh
Energy:8935mWh
Avg Volt:4.02V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.698
0,0.00,3.698
1,2.00,3.733
3,2.00,3.734
5,2.00,3.735
7,2.00,3.739
9,2.00,3.741
11,2.00,3.741
13,1.99,3.741
15,1.99,3.741
17,1.99,3.741
19,2.00,3.741
21,2.00,3.741
23,2.00,3.741
25,2.00,3.742
27,2.00,3.743
29,2.00,3.746
31,2.00,3.747
33,2.00,3.748
35,2.00,3.748
37,2.00,3.748
39,2.00,3.748
41,2.00,3.748
43,2.00,3.749
45,2.00,3.748
47,2.00,3.749
49,2.00,3.749
51,2.00,3.749
53,2.00,3.749
55,2.00,3.749
57,2.00,3.749
59,2.00,3.749
61,2.00,3.750
63,2.00,3.751
65,2.00,3.752
67,2.00,3.753
69,2.00,3.754
71,2.00,3.755
73,2.00,3.755
75,2.00,3.755
77,2.00,3.755
79,2.00,3.755
81,2.00,3.755
83,2.00,3.755
85,2.00,3.755
87,2.00,3.755
89,2.00,3.756
91,2.00,3.756
93,2.00,3.756
95,2.00,3.756
97,2.00,3.756
99,2.00,3.756
101,2.00,3.756
103,2.00,3.756
105,2.00,3.756
107,2.00,3.757
109,2.00,3.758
111,2.00,3.759
113,2.00,3.761
115,2.00,3.762
117,2.00,3.763
119,2.00,3.763
121,2.00,3.763
123,2.00,3.763
125,2.00,3.763
127,2.00,3.763
129,2.00,3.763
131,2.00,3.763
133,2.00,3.763
135,2.00,3.763
137,2.00,3.763
139,2.00,3.763
141,2.00,3.763
143,2.00,3.763
145,2.00,3.763
147,2.00,3.763
149,2.00,3.763
151,2.00,3.763
153,2.00,3.763
155,2.00,3.764
157,2.00,3.765
159,2.00,3.767
161,2.00,3.768
163,2.00,3.769
165,2.00,3.770
167,2.00,3.770
169,2.00,3.770
171,2.00,3.770
173,2.00,3.770
175,2.00,3.770
177,2.00,3.770
179,2.00,3.770
181,2.00,3.771
183,2.00,3.771
185,2.00,3.770
187,2.00,3.771
189,2.00,3.771
191,2.00,3.771
193,2.00,3.771
195,2.00,3.771
197,2.00,3.771
199,2.00,3.771
201,2.00,3.771
203,2.00,3.772
205,2.00,3.773
207,2.00,3.773
209,2.00,3.775
211,2.00,3.776
213,2.00,3.777
215,2.00,3.777
217,2.00,3.777
219,2.00,3.777
221,2.00,3.777
223,2.00,3.777
225,2.00,3.777
227,2.00,3.777
229,2.00,3.777
231,2.00,3.777
233,2.00,3.778
235,2.00,3.778
237,2.00,3.778
239,2.00,3.778
241,2.00,3.778
243,2.00,3.778
245,2.00,3.778
247,2.00,3.778
249,2.00,3.778
251,2.00,3.778
253,2.00,3.780
255,2.00,3.781
257,2.00,3.782
259,2.00,3.784
261,2.00,3.784
263,2.00,3.784
265,2.00,3.784
267,2.00,3.784
269,2.00,3.784
271,2.00,3.784
273,2.00,3.784
275,2.00,3.784
277,2.00,3.784
279,2.00,3.784
281,2.00,3.784
283,2.00,3.784
285,2.00,3.785
287,2.00,3.785
289,2.00,3.785
291,2.00,3.785
293,2.00,3.785
295,2.00,3.785
297,2.00,3.785
299,2.00,3.785
301,2.00,3.786
303,2.00,3.787
305,2.00,3.788
307,2.00,3.790
309,2.00,3.790
311,2.00,3.791
313,2.00,3.792
315,2.00,3.792
317,2.00,3.792
319,2.00,3.792
321,2.00,3.792
323,2.00,3.792
325,2.00,3.792
327,2.00,3.792
329,2.00,3.792
331,2.00,3.793
333,2.00,3.793
335,2.00,3.793
337,2.00,3.793
339,2.00,3.793
341,2.00,3.793
343,2.00,3.793
345,2.00,3.793
347,2.00,3.793
