-----------EB Tester Software-----------
Device:EBC-A20
Mode:C-CV  0.15A  4.20V
Begin Volt:2.455V
Cutoff Volt:4.200V
Capacity:3913mAh
Energy:14.64Wh
Avg Volt:3.74V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.455
1,0.15,2.469
3,0.15,2.477
5,0.15,2.484
7,0.15,2.488
9,0.15,2.491
11,0.15,2.498
13,0.15,2.499
15,0.15,2.502
17,0.15,2.506
19,0.15,2.508
21,0.15,2.513
23,0.15,2.513
25,0.15,2.520
27,0.15,2.521
29,0.15,2.521
31,0.15,2.528
33,0.15,2.528
35,0.15,2.531
37,0.15,2.534
39,0.15,2.535
41,0.15,2.541
43,0.15,2.543
45,0.15,2.543
47,0.15,2.544
49,0.15,2.550
51,0.15,2.550
53,0.15,2.552
55,0.15,2.556
57,0.15,2.557
59,0.15,2.557
61,0.15,2.563
63,0.15,2.564
65,0.15,2.564
67,0.15,2.568
69,0.15,2.571
71,0.15,2.572
73,0.15,2.572
75,0.15,2.578
77,0.15,2.579
79,0.15,2.579
81,0.15,2.581
83,0.15,2.585
85,0.15,2.586
87,0.15,2.586
89,0.15,2.592
91,0.15,2.594
93,0.15,2.594
95,0.15,2.594
97,0.15,2.600
99,0.15,2.601
101,0.15,2.601
103,0.15,2.602
105,0.15,2.607
107,0.15,2.608
109,0.15,2.608
111,0.15,2.610
113,0.15,2.615
115,0.15,2.616
117,0.15,2.616
119,0.15,2.617
121,0.15,2.622
123,0.15,2.623
125,0.15,2.623
127,0.15,2.626
129,0.15,2.629
131,0.15,2.630
133,0.15,2.630
135,0.15,2.631
137,0.15,2.637
139,0.15,2.638
141,0.15,2.638
143,0.15,2.638
145,0.15,2.644
147,0.15,2.645
149,0.15,2.645
151,0.15,2.645
153,0.15,2.651
155,0.15,2.652
157,0.15,2.652
159,0.15,2.652
161,0.15,2.658
163,0.15,2.659
165,0.15,2.659
167,0.15,2.659
169,0.15,2.660
171,0.15,2.666
173,0.15,2.667
175,0.15,2.667
177,0.15,2.668
179,0.15,2.673
181,0.15,2.674
183,0.15,2.674
185,0.15,2.674
187,0.15,2.676
189,0.15,2.681
191,0.15,2.681
193,0.15,2.681
195,0.15,2.683
197,0.15,2.688
199,0.15,2.689
201,0.15,2.689
203,0.15,2.689
205,0.15,2.693
207,0.15,2.695
209,0.15,2.696
211,0.15,2.696
213,0.15,2.696
215,0.15,2.702
217,0.15,2.703
219,0.15,2.703
221,0.15,2.703
223,0.15,2.705
225,0.15,2.710
227,0.15,2.711
229,0.15,2.711
231,0.15,2.711
233,0.15,2.716
235,0.15,2.717
237,0.15,2.718
239,0.15,2.718
241,0.15,2.718
243,0.15,2.723
245,0.15,2.724
247,0.15,2.725
249,0.15,2.725
251,0.15,2.725
253,0.15,2.732
255,0.15,2.732
257,0.15,2.733
259,0.15,2.733
261,0.15,2.733
263,0.15,2.736
265,0.15,2.739
267,0.15,2.740
269,0.15,2.740
271,0.15,2.740
273,0.15,2.745
275,0.15,2.746
277,0.15,2.747
279,0.15,2.747
281,0.15,2.747
283,0.15,2.748
285,0.15,2.754
287,0.15,2.754
289,0.15,2.755
291,0.15,2.755
293,0.15,2.755
295,0.15,2.759
297,0.15,2.761
299,0.15,2.762
301,0.15,2.762
303,0.15,2.762
305,0.15,2.762
307,0.15,2.767
309,0.15,2.768
311,0.15,2.769
313,0.15,2.769
315,0.15,2.769
317,0.15,2.770
319,0.15,2.776
321,0.15,2.776
323,0.15,2.776
325,0.15,2.776
327,0.15,2.776
329,0.15,2.776
331,0.15,2.781
333,0.15,2.783
335,0.15,2.783
337,0.15,2.784
339,0.15,2.784
341,0.15,2.784
343,0.15,2.787
345,0.15,2.790
347,0.15,2.790
349,0.15,2.791
351,0.15,2.791
353,0.15,2.791
355,0.15,2.791
357,0.15,2.791
359,0.15,2.794
361,0.15,2.797
363,0.15,2.798
365,0.15,2.798
367,0.15,2.798
