-----------EB Tester Software-----------
Device:EBC-A20
Mode:D-CC  20.00A  2.45V
Begin Volt:4.229V
Cutoff Volt:2.450V
Capacity:3932mAh
Energy:12.81Wh
Avg Volt:3.26V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,4.229
1,0.00,4.229
3,20.00,3.849
5,20.00,3.815
7,20.00,3.792
9,20.00,3.773
11,20.00,3.757
13,20.00,3.748
15,20.00,3.734
17,20.00,3.726
19,20.00,3.719
21,20.00,3.711
23,20.00,3.705
25,20.00,3.698
27,20.00,3.697
29,20.00,3.690
31,20.00,3.686
33,20.00,3.683
35,20.00,3.682
37,20.00,3.676
39,20.00,3.676
41,20.00,3.674
43,20.00,3.668
45,20.00,3.668
47,20.00,3.668
49,20.00,3.667
51,20.00,3.662
53,20.00,3.661
55,20.00,3.661
57,20.00,3.660
59,20.00,3.657
61,20.00,3.654
63,20.00,3.654
65,20.00,3.654
67,20.00,3.653
69,20.00,3.649
71,20.00,3.646
73,20.00,3.646
75,20.00,3.646
77,20.00,3.641
79,20.00,3.639
81,20.00,3.639
83,20.00,3.638
85,20.00,3.638
87,20.00,3.632
89,20.00,3.632
91,20.00,3.631
93,20.00,3.629
95,20.00,3.625
97,20.00,3.625
99,20.00,3.625
101,20.00,3.624
103,20.00,3.618
105,20.00,3.617
107,20.00,3.617
109,20.00,3.614
111,20.00,3.610
113,20.00,3.610
115,20.00,3.610
117,20.00,3.609
119,20.00,3.604
121,20.00,3.603
123,20.00,3.603
125,20.00,3.602
127,20.00,3.600
129,20.00,3.595
131,20.00,3.595
133,20.00,3.595
135,20.00,3.594
137,20.00,3.588
139,20.00,3.588
141,20.00,3.588
143,20.00,3.585
145,20.00,3.581
147,20.00,3.581
149,20.00,3.580
151,20.00,3.575
153,20.00,3.573
155,20.00,3.572
157,20.00,3.567
159,20.00,3.566
161,20.00,3.565
163,20.00,3.559
165,20.00,3.559
167,20.00,3.558
169,20.00,3.551
171,20.00,3.551
173,20.00,3.550
175,20.00,3.544
177,20.00,3.543
179,20.00,3.537
181,20.00,3.537
183,20.00,3.536
185,20.00,3.529
187,20.00,3.526
189,20.00,3.522
191,20.00,3.519
193,20.00,3.515
195,20.00,3.508
197,20.00,3.508
199,20.00,3.500
201,20.00,3.497
203,20.00,3.492
205,20.00,3.486
