-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,2.137,7.548
*1-2,Wait,0,0
*1-3,D-CC,0.377,1.183
*1-4,Wait,0,0
*1-5,D-CC,0.262,0.770
*1-6,Wait,0,0
*1-7,D-CC,0.090,0.247
*1-8,Wait,0,0
*1-9,D-CC,0.057,0.149
*1-10,Wait,0,0
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.983
0,0.00,3.982
1,3.00,3.888
3,3.00,3.881
5,3.00,3.879
7,3.00,3.873
9,3.00,3.872
11,3.00,3.869
13,3.00,3.866
15,3.00,3.865
17,3.00,3.861
19,3.00,3.858
21,3.00,3.858
23,3.00,3.858
25,3.00,3.854
27,3.00,3.851
29,3.00,3.851
31,3.00,3.850
33,3.00,3.849
35,3.00,3.848
37,3.00,3.846
39,3.00,3.844
41,3.00,3.844
43,3.00,3.843
45,3.00,3.843
47,3.00,3.842
49,3.00,3.841
51,3.00,3.838
53,3.00,3.837
55,3.00,3.837
57,3.00,3.837
59,3.00,3.836
61,3.00,3.836
63,3.00,3.836
65,3.00,3.835
67,3.00,3.833
69,3.00,3.833
71,3.00,3.832
73,3.00,3.830
75,3.00,3.829
77,3.00,3.829
79,3.00,3.828
81,3.00,3.828
83,3.00,3.828
85,3.00,3.827
87,3.00,3.826
89,3.00,3.825
91,3.00,3.824
93,3.00,3.823
95,3.00,3.822
97,3.00,3.822
99,3.00,3.821
101,3.00,3.821
103,3.00,3.821
105,3.00,3.819
107,3.00,3.818
109,3.00,3.817
111,3.00,3.816
113,3.00,3.815
115,3.00,3.815
117,3.00,3.815
119,3.00,3.814
121,3.00,3.814
123,3.00,3.814
125,3.00,3.814
127,3.00,3.812
129,3.00,3.811
131,3.00,3.810
133,3.00,3.809
135,3.00,3.808
137,3.00,3.807
139,3.00,3.807
141,3.00,3.806
143,3.00,3.806
145,3.00,3.806
147,3.00,3.805
149,3.00,3.804
151,3.00,3.804
153,3.00,3.803
155,3.00,3.802
157,3.00,3.800
159,3.00,3.800
161,3.00,3.800
163,3.00,3.799
165,3.00,3.799
167,3.00,3.799
169,3.00,3.798
171,3.00,3.797
173,3.00,3.795
175,3.00,3.795
177,3.00,3.794
179,3.00,3.793
181,3.00,3.793
183,3.00,3.793
185,3.00,3.792
187,3.00,3.792
189,3.00,3.792
191,3.00,3.790
193,3.00,3.789
195,3.00,3.788
197,3.00,3.788
199,3.00,3.786
201,3.00,3.785
203,3.00,3.785
205,3.00,3.784
207,3.00,3.784
209,3.00,3.784
211,3.00,3.784
213,3.00,3.784
215,3.00,3.782
217,3.00,3.781
219,3.00,3.781
221,3.00,3.780
223,3.00,3.779
225,3.00,3.778
227,3.00,3.778
229,3.00,3.778
231,3.00,3.777
233,3.00,3.777
