-----------EB Tester Software-----------
Device:EBC-A20
Mode:C-CV  2.00A  4.20V
Begin Volt:3.507V
Cutoff Volt:4.200V
Capacity:2823mAh
Energy:11.24Wh
Avg Volt:3.98V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,4.166
0,0.00,4.166
1,2.00,4.112
3,2.00,4.107
5,2.00,4.106
7,2.00,4.101
9,2.00,4.100
11,2.00,4.100
13,2.00,4.099
15,2.00,4.096
17,2.00,4.092
19,2.00,4.092
21,2.00,4.092
23,2.00,4.092
25,2.00,4.092
27,2.00,4.092
29,2.00,4.088
31,2.00,4.086
33,2.00,4.085
35,2.00,4.085
37,2.00,4.085
39,2.00,4.085
41,2.00,4.084
43,2.00,4.084
45,2.00,4.082
47,2.00,4.081
49,2.00,4.079
51,2.00,4.078
53,2.00,4.078
55,2.00,4.078
57,2.00,4.078
59,2.00,4.078
61,2.00,4.077
63,2.00,4.077
65,2.00,4.077
67,2.00,4.077
69,2.00,4.076
71,2.00,4.074
73,2.00,4.072
75,2.00,4.071
77,2.00,4.070
79,2.00,4.070
81,2.00,4.070
83,2.00,4.070
85,2.00,4.070
87,2.00,4.070
89,2.00,4.070
91,2.00,4.070
93,2.00,4.070
95,2.00,4.069
97,2.00,4.067
99,2.00,4.065
101,2.00,4.064
103,2.00,4.063
105,2.00,4.063
107,2.00,4.063
109,2.00,4.063
111,2.00,4.063
113,2.00,4.063
115,2.00,4.063
117,2.00,4.063
119,2.00,4.062
121,2.00,4.062
123,2.00,4.062
125,2.00,4.062
127,2.00,4.061
129,2.00,4.060
131,2.00,4.058
133,2.00,4.057
135,2.00,4.056
137,2.00,4.056
139,2.00,4.056
141,2.00,4.056
143,2.00,4.056
145,2.00,4.056
147,2.00,4.056
149,2.00,4.056
151,2.00,4.055
153,2.00,4.055
155,2.00,4.055
157,2.00,4.055
159,2.00,4.055
161,2.00,4.053
163,2.00,4.052
165,2.00,4.050
167,2.00,4.049
169,2.00,4.049
171,2.00,4.049
173,2.00,4.049
175,2.00,4.049
177,2.00,4.049
179,2.00,4.049
181,2.00,4.049
183,2.00,4.049
185,2.00,4.049
187,2.00,4.048
189,2.00,4.048
191,2.00,4.048
193,2.00,4.048
195,2.00,4.048
197,2.00,4.048
199,2.00,4.047
201,2.00,4.047
203,2.00,4.045
205,2.00,4.044
207,2.00,4.043
209,2.00,4.042
211,2.00,4.041
213,2.00,4.041
215,2.00,4.041
217,2.00,4.041
219,2.00,4.041
221,2.00,4.041
223,2.00,4.041
225,2.00,4.041
227,2.00,4.041
229,2.00,4.041
231,2.00,4.041
233,2.00,4.040
235,2.00,4.040
237,2.00,4.040
239,2.00,4.040
241,2.00,4.040
243,2.00,4.040
245,2.00,4.040
247,2.00,4.039
249,2.00,4.038
251,2.00,4.037
253,2.00,4.036
255,2.00,4.036
257,2.00,4.035
259,2.00,4.034
261,2.00,4.034
263,2.00,4.034
265,2.00,4.034
267,2.00,4.034
269,2.00,4.034
271,2.00,4.034
273,2.00,4.034
275,2.00,4.034
277,2.00,4.034
279,2.00,4.034
281,2.00,4.034
283,2.00,4.034
285,2.00,4.034
287,2.00,4.033
289,2.00,4.033
291,2.00,4.033
293,2.00,4.033
295,2.00,4.033
297,2.00,4.033
299,2.00,4.033
301,2.00,4.032
303,2.00,4.032
305,2.00,4.031
307,2.00,4.030
309,2.00,4.029
311,2.00,4.028
313,2.00,4.028
315,2.00,4.028
317,2.00,4.027
319,2.00,4.027
321,2.00,4.027
323,2.00,4.027
325,2.00,4.027
327,2.00,4.027
329,2.00,4.027
331,2.00,4.027
333,2.00,4.027
335,2.00,4.027
337,2.00,4.027
339,2.00,4.027
341,2.00,4.027
343,2.00,4.027
345,2.00,4.026
347,2.00,4.027
349,2.00,4.027
351,2.00,4.026
353,2.00,4.026
355,2.00,4.026
357,2.00,4.026
359,2.00,4.026
361,2.00,4.026
363,2.00,4.026
365,2.00,4.025
367,2.00,4.025
369,2.00,4.024
371,2.00,4.023
373,2.00,4.022
375,2.00,4.022
377,2.00,4.020
379,2.00,4.020
381,2.00,4.020
383,2.00,4.019
385,2.00,4.019
387,2.00,4.019
389,2.00,4.019
391,2.00,4.019
393,2.00,4.019
395,2.00,4.019
397,2.00,4.019
399,2.00,4.019
401,2.00,4.019
403,2.00,4.019
405,2.00,4.019
407,2.00,4.019
409,2.00,4.019
411,2.00,4.019
413,2.00,4.019
415,2.00,4.019
417,2.00,4.019
419,2.00,4.018
421,2.00,4.019
423,2.00,4.018
425,2.00,4.018
427,2.00,4.018
429,2.00,4.018
431,2.00,4.018
433,2.00,4.018
435,2.00,4.018
437,2.00,4.018
439,2.00,4.018
441,2.00,4.018
443,2.00,4.018
445,2.00,4.018
447,2.00,4.018
449,2.00,4.018
451,2.00,4.017
453,2.00,4.017
455,2.00,4.017
457,2.00,4.016
459,2.00,4.016
461,2.00,4.016
463,2.00,4.015
465,2.00,4.014
467,2.00,4.013
469,2.00,4.013
471,2.00,4.013
473,2.00,4.013
475,2.00,4.012
477,2.00,4.012
479,2.00,4.012
481,2.00,4.012
483,2.00,4.012
485,2.00,4.012
487,2.00,4.012
489,2.00,4.012
491,2.00,4.012
493,2.00,4.012
495,2.00,4.012
497,2.00,4.012
499,2.00,4.012
501,2.00,4.012
503,2.00,4.012
505,2.00,4.012
507,2.00,4.012
509,2.00,4.012
511,2.00,4.012
513,2.00,4.011
515,2.00,4.012
517,2.00,4.011
519,2.00,4.012
521,2.00,4.011
523,2.00,4.011
525,2.00,4.011
527,2.00,4.011
529,2.00,4.011
531,2.00,4.011
533,2.00,4.011
535,2.00,4.011
537,2.00,4.011
539,2.00,4.011
541,2.00,4.011
543,2.00,4.011
545,2.00,4.011
547,2.00,4.011
549,2.00,4.011
551,2.00,4.010
553,2.00,4.010
555,2.00,4.009
557,2.00,4.009
559,2.00,4.008
561,2.00,4.008
563,2.00,4.008
565,2.00,4.007
567,2.00,4.007
569,2.00,4.007
571,2.00,4.007
573,2.00,4.006
575,2.00,4.006
577,2.00,4.006
579,2.00,4.005
581,2.00,4.005
583,2.00,4.005
585,2.00,4.005
587,2.00,4.005
589,2.00,4.005
591,2.00,4.005
593,2.00,4.005
595,2.00,4.005
597,2.00,4.005
599,2.00,4.005
601,2.00,4.005
603,2.00,4.005
605,2.00,4.005
607,2.00,4.005
609,2.00,4.005
611,2.00,4.005
613,2.00,4.005
615,2.00,4.005
617,2.00,4.005
619,2.00,4.005
621,2.00,4.005
623,2.00,4.005
625,2.00,4.005
627,2.00,4.005
629,2.00,4.005
631,2.00,4.005
633,2.00,4.005
635,2.00,4.004
637,2.00,4.004
639,2.00,4.004
641,2.00,4.004
643,2.00,4.004
645,2.00,4.004
647,2.00,4.004
649,2.00,4.004
651,2.00,4.004
653,2.00,4.004
655,2.00,4.004
657,2.00,4.004
659,2.00,4.004
661,2.00,4.004
663,2.00,4.004
665,2.00,4.004
667,2.00,4.004
669,2.00,4.004
671,2.00,4.004
673,2.00,4.004
675,2.00,4.003
677,2.00,4.003
679,2.00,4.003
681,2.00,4.003
683,2.00,4.002
685,2.00,4.001
687,2.00,4.001
689,2.00,4.000
689,2.00,4.000
690,0.00,4.056
692,0.00,4.060
694,0.00,4.062
696,0.00,4.063
698,0.00,4.063
700,0.00,4.063
702,0.00,4.064
704,0.00,4.069
706,0.00,4.070
708,0.00,4.070
710,0.00,4.070
712,0.00,4.070
714,0.00,4.070
716,0.00,4.070
718,0.00,4.070
720,0.00,4.070
722,0.00,4.070
724,0.00,4.070
726,0.00,4.070
728,0.00,4.070
730,0.00,4.070
732,0.00,4.070
734,0.00,4.070
736,0.00,4.070
738,0.00,4.070
740,0.00,4.070
742,0.00,4.071
744,0.00,4.072
746,0.00,4.072
748,0.00,4.073
750,0.00,4.074
752,0.00,4.075
754,0.00,4.075
756,0.00,4.075
758,0.00,4.076
760,0.00,4.076
762,0.00,4.077
764,0.00,4.077
766,0.00,4.077
768,0.00,4.077
770,0.00,4.077
772,0.00,4.077
774,0.00,4.077
776,0.00,4.077
778,0.00,4.077
780,0.00,4.077
782,0.00,4.077
784,0.00,4.077
786,0.00,4.077
788,0.00,4.077
790,0.00,4.077
792,0.00,4.077
794,0.00,4.077
796,0.00,4.077
798,0.00,4.077
800,0.00,4.077
802,0.00,4.077
804,0.00,4.077
806,0.00,4.077
808,0.00,4.077
810,0.00,4.077
812,0.00,4.077
814,0.00,4.077
816,0.00,4.077
818,0.00,4.077
820,0.00,4.077
822,0.00,4.077
824,0.00,4.077
826,0.00,4.077
828,0.00,4.077
830,0.00,4.077
832,0.00,4.077
834,0.00,4.077
836,0.00,4.077
838,0.00,4.077
840,0.00,4.077
842,0.00,4.077
844,0.00,4.077
846,0.00,4.077
848,0.00,4.077
850,0.00,4.077
852,0.00,4.077
854,0.00,4.077
856,0.00,4.077
858,0.00,4.077
860,0.00,4.077
862,0.00,4.077
864,0.00,4.077
866,0.00,4.077
868,0.00,4.077
870,0.00,4.077
872,0.00,4.077
874,0.00,4.077
876,0.00,4.077
878,0.00,4.077
880,0.00,4.077
882,0.00,4.077
884,0.00,4.077
886,0.00,4.077
888,0.00,4.077
890,0.00,4.077
892,0.00,4.077
894,0.00,4.078
896,0.00,4.077
898,0.00,4.077
900,0.00,4.077
902,0.00,4.077
904,0.00,4.078
906,0.00,4.077
908,0.00,4.077
910,0.00,4.077
912,0.00,4.078
914,0.00,4.077
916,0.00,4.077
918,0.00,4.077
920,0.00,4.077
922,0.00,4.077
924,0.00,4.077
926,0.00,4.078
928,0.00,4.077
930,0.00,4.078
932,0.00,4.077
934,0.00,4.077
936,0.00,4.078
938,0.00,4.077
940,0.00,4.078
942,0.00,4.078
944,0.00,4.078
946,0.00,4.078
948,0.00,4.077
950,0.00,4.077
952,0.00,4.077
954,0.00,4.077
956,0.00,4.078
958,0.00,4.078
960,0.00,4.077
962,0.00,4.077
964,0.00,4.077
966,0.00,4.077
968,0.00,4.077
970,0.00,4.077
972,0.00,4.078
974,0.00,4.077
976,0.00,4.078
978,0.00,4.078
980,0.00,4.077
982,0.00,4.078
984,0.00,4.078
986,0.00,4.078
988,0.00,4.077
990,0.00,4.077
992,0.00,4.078
994,0.00,4.078
996,0.00,4.078
998,0.00,4.078
1000,0.00,4.077
1002,0.00,4.077
1004,0.00,4.078
1006,0.00,4.077
1008,0.00,4.078
1010,0.00,4.078
1012,0.00,4.078
1014,0.00,4.078
1016,0.00,4.078
1018,0.00,4.078
1020,0.00,4.078
1022,0.00,4.078
1024,0.00,4.078
1026,0.00,4.078
1028,0.00,4.077
1030,0.00,4.078
1032,0.00,4.078
1034,0.00,4.078
1036,0.00,4.078
1038,0.00,4.078
1040,0.00,4.078
1042,0.00,4.077
1044,0.00,4.078
1046,0.00,4.078
1048,0.00,4.078
1050,0.00,4.078
1052,0.00,4.078
1054,0.00,4.078
1056,0.00,4.078
1058,0.00,4.078
1060,0.00,4.077
1062,0.00,4.078
1064,0.00,4.078
1066,0.00,4.078
1068,0.00,4.078
1070,0.00,4.077
1072,0.00,4.078
1074,0.00,4.078
1076,0.00,4.078
1078,0.00,4.077
1080,0.00,4.078
1082,0.00,4.078
1084,0.00,4.078
1086,0.00,4.077
1088,0.00,4.078
1090,0.00,4.077
1092,0.00,4.078
1094,0.00,4.078
1096,0.00,4.078
1098,0.00,4.078
1100,0.00,4.078
1102,0.00,4.078
1104,0.00,4.078
1106,0.00,4.078
1108,0.00,4.078
1110,0.00,4.078
1112,0.00,4.078
1114,0.00,4.078
1116,0.00,4.078
1118,0.00,4.078
1120,0.00,4.078
1122,0.00,4.078
1124,0.00,4.078
1126,0.00,4.078
1128,0.00,4.078
1130,0.00,4.078
1132,0.00,4.078
1134,0.00,4.078
1136,0.00,4.078
1138,0.00,4.078
1140,0.00,4.078
1142,0.00,4.078
1144,0.00,4.078
1146,0.00,4.078
1148,0.00,4.078
1150,0.00,4.078
1152,0.00,4.078
1154,0.00,4.078
1156,0.00,4.078
1158,0.00,4.078
1160,0.00,4.078
1162,0.00,4.078
1164,0.00,4.078
1166,0.00,4.078
1168,0.00,4.078
1170,0.00,4.078
1172,0.00,4.078
1174,0.00,4.078
1176,0.00,4.078
1178,0.00,4.078
1180,0.00,4.078
1182,0.00,4.078
1184,0.00,4.078
1186,0.00,4.078
1188,0.00,4.078
1190,0.00,4.078
1192,0.00,4.078
1194,0.00,4.078
1196,0.00,4.078
1198,0.00,4.078
1200,0.00,4.078
1202,0.00,4.078
1204,0.00,4.078
1206,0.00,4.078
1208,0.00,4.078
1210,0.00,4.078
1212,0.00,4.078
1214,0.00,4.078
1216,0.00,4.078
1218,0.00,4.078
1220,0.00,4.078
1222,0.00,4.078
1224,0.00,4.078
1226,0.00,4.078
1228,0.00,4.078
1230,0.00,4.078
1232,0.00,4.078
1234,0.00,4.078
1236,0.00,4.078
1238,0.00,4.078
1240,0.00,4.078
1242,0.00,4.078
1244,0.00,4.078
1246,0.00,4.078
1248,0.00,4.078
1250,0.00,4.078
1252,0.00,4.078
1254,0.00,4.078
1256,0.00,4.077
1258,0.00,4.077
1260,0.00,4.078
1262,0.00,4.078
1264,0.00,4.077
1266,0.00,4.078
1268,0.00,4.078
1270,0.00,4.078
1272,0.00,4.078
1274,0.00,4.078
1276,0.00,4.078
1278,0.00,4.078
1280,0.00,4.078
1282,0.00,4.078
1284,0.00,4.078
1286,0.00,4.078
1288,0.00,4.078
1290,0.00,4.078
1292,0.00,4.078
1294,0.00,4.078
1296,0.00,4.078
1298,0.00,4.078
1300,0.00,4.078
1302,0.00,4.078
1304,0.00,4.078
1306,0.00,4.078
1308,0.00,4.078
1310,0.00,4.078
1312,0.00,4.078
