-----------EB Tester Software-----------
Device:EBC-A20
Mode:D-CC  0.10A  2.40V
Begin Volt:4.173V
Cutoff Volt:2.400V
Capacity:4325mAh
Energy:15.77Wh
Avg Volt:3.64V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,4.173
0,0.00,4.174
1,0.10,4.165
3,0.10,4.165
5,0.10,4.165
7,0.10,4.165
9,0.10,4.165
11,0.10,4.165
13,0.10,4.165
15,0.10,4.165
17,0.10,4.165
19,0.10,4.165
21,0.10,4.165
23,0.10,4.165
25,0.10,4.165
27,0.10,4.165
29,0.10,4.165
31,0.10,4.165
33,0.10,4.165
35,0.10,4.165
37,0.10,4.165
39,0.10,4.165
41,0.10,4.165
43,0.10,4.165
45,0.10,4.165
47,0.10,4.165
49,0.10,4.165
51,0.10,4.165
53,0.10,4.165
55,0.10,4.165
57,0.10,4.165
59,0.10,4.165
61,0.10,4.165
63,0.10,4.165
65,0.10,4.165
67,0.10,4.165
69,0.10,4.165
71,0.10,4.165
73,0.10,4.164
75,0.10,4.164
77,0.10,4.164
79,0.10,4.164
81,0.10,4.164
83,0.10,4.163
85,0.10,4.164
87,0.10,4.163
89,0.10,4.163
91,0.10,4.163
93,0.10,4.163
95,0.10,4.162
97,0.10,4.162
99,0.10,4.162
101,0.10,4.162
103,0.10,4.162
105,0.10,4.162
107,0.10,4.162
109,0.10,4.160
111,0.10,4.161
113,0.10,4.161
115,0.10,4.161
117,0.10,4.161
119,0.10,4.160
121,0.10,4.160
123,0.10,4.160
125,0.10,4.159
127,0.10,4.160
129,0.10,4.160
131,0.10,4.159
133,0.10,4.160
135,0.10,4.159
137,0.10,4.159
139,0.10,4.159
141,0.10,4.159
143,0.10,4.158
145,0.10,4.158
147,0.10,4.158
149,0.10,4.158
151,0.10,4.158
153,0.10,4.158
155,0.10,4.158
157,0.10,4.158
159,0.10,4.158
161,0.10,4.158
163,0.10,4.158
165,0.10,4.158
167,0.10,4.158
169,0.10,4.158
171,0.10,4.158
173,0.10,4.158
175,0.10,4.158
177,0.10,4.158
179,0.10,4.158
181,0.10,4.158
183,0.10,4.158
185,0.10,4.158
187,0.10,4.158
189,0.10,4.158
191,0.10,4.158
193,0.10,4.158
195,0.10,4.158
197,0.10,4.158
199,0.10,4.158
201,0.10,4.158
203,0.10,4.158
205,0.10,4.158
207,0.10,4.158
209,0.10,4.158
211,0.10,4.158
213,0.10,4.158
215,0.10,4.158
217,0.10,4.158
219,0.10,4.158
221,0.10,4.158
223,0.10,4.158
225,0.10,4.158
227,0.10,4.158
229,0.10,4.158
231,0.10,4.158
233,0.10,4.158
235,0.10,4.158
237,0.10,4.158
239,0.10,4.158
241,0.10,4.158
243,0.10,4.158
245,0.10,4.158
247,0.10,4.158
249,0.10,4.158
251,0.10,4.158
253,0.10,4.158
255,0.10,4.158
257,0.10,4.158
259,0.10,4.158
261,0.10,4.158
263,0.10,4.158
265,0.10,4.158
267,0.10,4.158
269,0.10,4.158
271,0.10,4.158
273,0.10,4.158
275,0.10,4.158
277,0.10,4.158
279,0.10,4.158
281,0.10,4.158
283,0.10,4.158
285,0.10,4.158
287,0.10,4.158
289,0.10,4.158
291,0.10,4.158
293,0.10,4.158
295,0.10,4.158
297,0.10,4.158
299,0.10,4.158
301,0.10,4.158
303,0.10,4.158
305,0.10,4.158
307,0.10,4.158
309,0.10,4.158
311,0.10,4.158
313,0.10,4.158
315,0.10,4.158
317,0.10,4.158
319,0.10,4.158
321,0.10,4.158
323,0.10,4.157
325,0.10,4.157
327,0.10,4.158
329,0.10,4.158
331,0.10,4.158
333,0.10,4.157
335,0.10,4.157
337,0.10,4.158
339,0.10,4.158
341,0.10,4.157
343,0.10,4.157
345,0.10,4.157
347,0.10,4.157
349,0.10,4.157
351,0.10,4.157
353,0.10,4.157
355,0.10,4.157
357,0.10,4.157
359,0.10,4.157
361,0.10,4.157
363,0.10,4.157
365,0.10,4.157
367,0.10,4.157
369,0.10,4.157
371,0.10,4.157
373,0.10,4.157
375,0.10,4.157
377,0.10,4.157
379,0.10,4.157
381,0.10,4.157
383,0.10,4.157
385,0.10,4.157
387,0.10,4.157
389,0.10,4.157
391,0.10,4.157
393,0.10,4.157
395,0.10,4.157
397,0.10,4.157
399,0.10,4.157
401,0.10,4.157
403,0.10,4.157
405,0.10,4.157
407,0.10,4.157
409,0.10,4.157
411,0.10,4.157
413,0.10,4.157
415,0.10,4.157
417,0.10,4.157
419,0.10,4.157
