-----------EB Tester Software-----------
Device:EBC-A20
Mode:C-CV  0.13A  4.20V
Begin Volt:3.464V
Cutoff Volt:3.543V
Capacity:249mAh
Energy:873mWh
Avg Volt:3.50V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.464
0,0.00,3.463
1,0.13,3.466
3,0.13,3.467
5,0.13,3.468
7,0.13,3.468
9,0.13,3.469
11,0.13,3.469
13,0.13,3.469
15,0.13,3.470
17,0.13,3.470
19,0.13,3.470
21,0.13,3.470
23,0.13,3.470
25,0.13,3.470
27,0.13,3.470
29,0.13,3.470
31,0.13,3.470
33,0.13,3.470
35,0.13,3.470
37,0.13,3.470
39,0.13,3.470
41,0.13,3.470
43,0.13,3.470
45,0.13,3.470
47,0.13,3.470
49,0.13,3.470
51,0.13,3.470
53,0.13,3.470
55,0.13,3.470
57,0.13,3.470
59,0.13,3.470
61,0.13,3.470
63,0.13,3.470
65,0.13,3.470
67,0.13,3.471
69,0.13,3.470
71,0.13,3.471
73,0.13,3.471
75,0.13,3.471
77,0.13,3.470
79,0.13,3.470
81,0.13,3.471
83,0.13,3.471
85,0.13,3.471
87,0.13,3.471
89,0.13,3.471
91,0.13,3.471
93,0.13,3.471
95,0.13,3.471
97,0.13,3.471
99,0.13,3.471
101,0.13,3.471
103,0.13,3.471
105,0.13,3.471
107,0.13,3.471
109,0.13,3.471
111,0.13,3.471
113,0.13,3.471
115,0.13,3.471
117,0.13,3.471
119,0.13,3.471
121,0.13,3.471
123,0.13,3.471
125,0.13,3.471
127,0.13,3.471
129,0.13,3.471
131,0.13,3.471
133,0.13,3.471
135,0.13,3.471
137,0.13,3.471
139,0.13,3.471
141,0.13,3.471
143,0.13,3.471
145,0.13,3.471
147,0.13,3.471
149,0.13,3.471
151,0.13,3.471
153,0.13,3.471
155,0.13,3.471
157,0.13,3.471
159,0.13,3.471
161,0.13,3.471
163,0.13,3.471
165,0.13,3.471
167,0.13,3.471
169,0.13,3.471
171,0.13,3.471
173,0.13,3.471
175,0.13,3.471
177,0.13,3.471
179,0.13,3.471
181,0.13,3.471
183,0.13,3.471
185,0.13,3.471
187,0.13,3.471
189,0.13,3.471
191,0.13,3.471
193,0.13,3.471
195,0.13,3.471
197,0.13,3.471
199,0.13,3.471
201,0.13,3.471
203,0.13,3.471
205,0.13,3.471
207,0.13,3.471
209,0.13,3.471
211,0.13,3.471
213,0.13,3.471
215,0.13,3.471
217,0.13,3.471
219,0.13,3.471
221,0.13,3.471
223,0.13,3.471
225,0.13,3.471
227,0.13,3.471
229,0.13,3.471
231,0.13,3.471
233,0.13,3.471
235,0.13,3.471
237,0.13,3.471
239,0.13,3.471
241,0.13,3.471
243,0.13,3.471
245,0.13,3.471
247,0.13,3.471
249,0.13,3.471
251,0.13,3.471
253,0.13,3.471
255,0.13,3.471
257,0.13,3.471
259,0.13,3.471
261,0.13,3.471
263,0.13,3.471
265,0.13,3.471
267,0.13,3.471
269,0.13,3.471
271,0.13,3.471
273,0.13,3.471
275,0.13,3.471
277,0.13,3.471
279,0.13,3.471
281,0.13,3.471
283,0.13,3.471
