-----------EB Tester Software-----------
Device:EBC-A20
Mode:C-CV  0.13A  4.20V
Begin Volt:4.122V
Cutoff Volt:4.200V
Capacity:147mAh
Energy:612mWh
Avg Volt:4.16V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,4.122
0,0.00,4.121
1,0.13,4.129
3,0.13,4.129
5,0.13,4.129
7,0.13,4.129
9,0.13,4.129
11,0.13,4.129
13,0.13,4.129
15,0.13,4.129
17,0.13,4.129
19,0.13,4.129
21,0.13,4.129
23,0.13,4.129
25,0.13,4.129
27,0.13,4.129
29,0.13,4.129
31,0.13,4.129
33,0.13,4.129
35,0.13,4.129
37,0.13,4.129
39,0.13,4.129
41,0.13,4.129
43,0.13,4.129
45,0.13,4.129
47,0.13,4.129
49,0.13,4.129
51,0.13,4.129
53,0.13,4.129
55,0.13,4.129
57,0.13,4.129
59,0.13,4.129
61,0.13,4.129
63,0.13,4.129
65,0.13,4.129
67,0.13,4.129
69,0.13,4.129
71,0.13,4.129
73,0.13,4.129
75,0.13,4.129
77,0.13,4.129
79,0.13,4.129
81,0.13,4.129
83,0.13,4.129
85,0.13,4.130
87,0.13,4.131
89,0.13,4.131
91,0.13,4.131
93,0.13,4.132
95,0.13,4.133
97,0.13,4.133
99,0.13,4.134
101,0.13,4.134
103,0.13,4.135
105,0.13,4.135
107,0.13,4.135
109,0.13,4.135
111,0.13,4.135
113,0.13,4.135
115,0.13,4.135
117,0.13,4.135
119,0.13,4.135
121,0.13,4.135
123,0.13,4.135
125,0.13,4.135
127,0.13,4.135
129,0.13,4.135
131,0.13,4.135
133,0.13,4.135
135,0.13,4.135
137,0.13,4.135
139,0.13,4.135
141,0.13,4.135
143,0.13,4.135
145,0.13,4.135
147,0.13,4.135
149,0.13,4.135
151,0.13,4.135
153,0.13,4.135
155,0.13,4.135
157,0.13,4.135
159,0.13,4.135
161,0.13,4.134
163,0.13,4.135
165,0.13,4.134
167,0.13,4.135
169,0.13,4.135
171,0.13,4.135
173,0.13,4.135
175,0.13,4.135
177,0.13,4.135
179,0.13,4.135
181,0.13,4.135
183,0.13,4.135
185,0.13,4.135
187,0.13,4.135
189,0.13,4.136
191,0.13,4.136
193,0.13,4.136
195,0.13,4.136
197,0.13,4.136
199,0.13,4.136
201,0.13,4.136
203,0.13,4.136
205,0.13,4.136
207,0.13,4.136
209,0.13,4.136
211,0.13,4.136
213,0.13,4.136
215,0.13,4.136
217,0.13,4.136
219,0.13,4.136
221,0.13,4.136
223,0.13,4.136
225,0.13,4.136
227,0.13,4.136
229,0.13,4.136
231,0.13,4.136
233,0.13,4.136
235,0.13,4.136
237,0.13,4.136
239,0.13,4.136
241,0.13,4.136
243,0.13,4.136
245,0.13,4.137
247,0.13,4.139
249,0.13,4.141
251,0.13,4.143
253,0.13,4.143
255,0.13,4.143
257,0.13,4.141
259,0.13,4.141
261,0.13,4.138
263,0.13,4.138
265,0.13,4.136
267,0.13,4.139
269,0.13,4.142
271,0.13,4.143
273,0.13,4.143
275,0.13,4.144
277,0.13,4.144
279,0.13,4.144
281,0.13,4.144
283,0.13,4.144
285,0.13,4.143
287,0.13,4.143
289,0.13,4.143
291,0.13,4.143
293,0.13,4.143
295,0.13,4.143
297,0.13,4.143
299,0.13,4.143
301,0.13,4.143
303,0.13,4.143
305,0.13,4.143
307,0.13,4.142
309,0.13,4.143
311,0.13,4.141
313,0.13,4.141
315,0.13,4.141
317,0.13,4.140
319,0.13,4.140
321,0.13,4.140
323,0.13,4.139
325,0.13,4.141
327,0.13,4.141
329,0.13,4.139
331,0.13,4.138
333,0.13,4.138
335,0.13,4.138
337,0.13,4.138
339,0.13,4.137
341,0.13,4.136
343,0.13,4.136
345,0.13,4.137
347,0.13,4.138
349,0.13,4.139
351,0.13,4.139
353,0.13,4.140
355,0.13,4.139
357,0.13,4.141
359,0.13,4.141
361,0.13,4.140
363,0.13,4.141
365,0.13,4.140
367,0.13,4.139
369,0.13,4.139
371,0.13,4.140
373,0.13,4.142
375,0.13,4.143
377,0.13,4.143
379,0.13,4.143
381,0.13,4.143
383,0.13,4.143
385,0.13,4.143
387,0.13,4.143
389,0.13,4.143
391,0.13,4.143
393,0.13,4.143
395,0.13,4.143
397,0.13,4.143
399,0.13,4.143
401,0.13,4.142
403,0.13,4.142
405,0.13,4.143
407,0.13,4.143
409,0.13,4.143
411,0.13,4.143
413,0.13,4.143
415,0.13,4.143
417,0.13,4.143
419,0.13,4.143
421,0.13,4.143
423,0.13,4.143
425,0.13,4.143
427,0.13,4.143
429,0.13,4.143
431,0.13,4.143
433,0.13,4.143
435,0.13,4.143
437,0.13,4.143
439,0.13,4.143
441,0.13,4.143
443,0.13,4.143
445,0.13,4.143
447,0.13,4.143
449,0.13,4.143
451,0.13,4.143
453,0.13,4.143
455,0.13,4.143
457,0.13,4.143
459,0.13,4.143
461,0.13,4.143
463,0.13,4.143
465,0.13,4.143
467,0.13,4.143
469,0.13,4.143
471,0.13,4.143
473,0.13,4.143
