-----------EB Tester Software-----------
Device:EBC-A20
Mode:D-CC  0.15A  2.40V
Begin Volt:3.667V
Cutoff Volt:2.400V
Capacity:1969mAh
Energy:6491mWh
Avg Volt:3.30V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.667
1,0.15,3.654
3,0.15,3.654
5,0.15,3.654
7,0.15,3.654
9,0.15,3.654
11,0.15,3.654
13,0.15,3.654
15,0.15,3.654
17,0.15,3.653
19,0.15,3.654
21,0.15,3.653
23,0.15,3.654
25,0.15,3.653
27,0.15,3.653
29,0.15,3.653
31,0.15,3.653
33,0.15,3.653
35,0.15,3.653
37,0.15,3.653
39,0.15,3.653
41,0.15,3.653
43,0.15,3.653
45,0.15,3.653
47,0.15,3.653
49,0.15,3.653
51,0.15,3.653
53,0.15,3.653
55,0.15,3.653
57,0.15,3.653
59,0.15,3.653
61,0.15,3.653
63,0.15,3.653
65,0.15,3.653
67,0.15,3.652
69,0.15,3.652
71,0.15,3.651
73,0.15,3.651
75,0.15,3.651
77,0.15,3.650
79,0.15,3.650
81,0.15,3.649
83,0.15,3.649
85,0.15,3.648
87,0.15,3.648
89,0.15,3.648
91,0.15,3.647
93,0.15,3.647
95,0.15,3.647
97,0.15,3.647
99,0.15,3.647
101,0.15,3.647
103,0.15,3.647
105,0.15,3.647
107,0.15,3.647
109,0.15,3.647
111,0.15,3.647
113,0.15,3.647
115,0.15,3.646
117,0.15,3.647
119,0.15,3.646
121,0.15,3.646
123,0.15,3.646
125,0.15,3.646
127,0.15,3.646
129,0.15,3.646
131,0.15,3.646
133,0.15,3.646
135,0.15,3.646
137,0.15,3.646
139,0.15,3.646
141,0.15,3.646
143,0.15,3.646
145,0.15,3.646
147,0.15,3.646
149,0.15,3.646
151,0.15,3.646
153,0.15,3.646
155,0.15,3.646
157,0.15,3.646
159,0.15,3.646
161,0.15,3.646
163,0.15,3.646
165,0.15,3.646
167,0.15,3.646
169,0.15,3.646
171,0.15,3.646
173,0.15,3.646
175,0.15,3.646
177,0.15,3.646
179,0.15,3.646
181,0.15,3.646
183,0.15,3.646
185,0.15,3.646
187,0.15,3.646
189,0.15,3.646
191,0.15,3.646
193,0.15,3.646
195,0.15,3.646
197,0.15,3.646
199,0.15,3.646
201,0.15,3.646
203,0.15,3.646
205,0.15,3.646
207,0.15,3.646
209,0.15,3.646
211,0.15,3.646
213,0.15,3.646
215,0.15,3.646
217,0.15,3.646
219,0.15,3.646
221,0.15,3.646
223,0.15,3.646
225,0.15,3.646
227,0.15,3.646
229,0.15,3.646
231,0.15,3.646
233,0.15,3.646
235,0.15,3.646
237,0.15,3.646
239,0.15,3.646
241,0.15,3.646
243,0.15,3.646
245,0.15,3.646
247,0.15,3.646
249,0.15,3.646
251,0.15,3.646
253,0.15,3.646
255,0.15,3.646
257,0.15,3.646
259,0.15,3.646
261,0.15,3.646
