-----------EB Tester Software-----------
Device:EBC-A20
Mode:D-CC  2.00A  3.20V
Begin Volt:3.478V
Cutoff Volt:3.200V
Capacity:396mAh
Energy:1311mWh
Avg Volt:3.31V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,4.194
0,0.00,4.194
1,2.00,4.158
3,2.00,4.157
5,2.00,4.151
7,2.00,4.151
9,2.00,4.150
11,2.00,4.149
13,2.00,4.144
15,2.00,4.144
17,2.00,4.143
19,2.00,4.143
21,2.00,4.140
23,2.00,4.136
25,2.00,4.136
27,2.00,4.136
29,2.00,4.136
31,2.00,4.135
33,2.00,4.135
35,2.00,4.133
37,2.00,4.130
39,2.00,4.129
41,2.00,4.129
43,2.00,4.129
45,2.00,4.129
47,2.00,4.128
49,2.00,4.128
51,2.00,4.124
53,2.00,4.123
55,2.00,4.122
57,2.00,4.122
59,2.00,4.122
61,2.00,4.122
63,2.00,4.121
65,2.00,4.121
67,2.00,4.121
69,2.00,4.120
71,2.00,4.117
73,2.00,4.115
75,2.00,4.114
77,2.00,4.114
79,2.00,4.114
81,2.00,4.114
83,2.00,4.113
85,2.00,4.113
87,2.00,4.113
89,2.00,4.113
91,2.00,4.110
93,2.00,4.107
95,2.00,4.107
97,2.00,4.107
99,2.00,4.107
101,2.00,4.107
103,2.00,4.107
105,2.00,4.107
107,2.00,4.106
109,2.00,4.106
111,2.00,4.106
113,2.00,4.106
115,2.00,4.103
117,2.00,4.101
119,2.00,4.100
121,2.00,4.100
123,2.00,4.100
125,2.00,4.100
127,2.00,4.100
129,2.00,4.100
131,2.00,4.100
133,2.00,4.099
135,2.00,4.099
137,2.00,4.099
139,2.00,4.098
141,2.00,4.095
143,2.00,4.093
145,2.00,4.092
147,2.00,4.092
149,2.00,4.092
151,2.00,4.092
153,2.00,4.092
155,2.00,4.092
157,2.00,4.092
159,2.00,4.092
161,2.00,4.092
163,2.00,4.092
165,2.00,4.092
167,2.00,4.092
169,2.00,4.091
171,2.00,4.088
173,2.00,4.086
175,2.00,4.085
177,2.00,4.085
179,2.00,4.085
181,2.00,4.085
183,2.00,4.085
185,2.00,4.085
187,2.00,4.085
189,2.00,4.085
191,2.00,4.084
193,2.00,4.084
195,2.00,4.084
197,2.00,4.084
199,2.00,4.082
201,2.00,4.081
203,2.00,4.079
205,2.00,4.078
207,2.00,4.078
209,2.00,4.078
211,2.00,4.078
213,2.00,4.078
215,2.00,4.078
217,2.00,4.078
219,2.00,4.078
221,2.00,4.078
223,2.00,4.078
225,2.00,4.077
227,2.00,4.077
229,2.00,4.077
231,2.00,4.077
233,2.00,4.077
235,2.00,4.077
237,2.00,4.077
239,2.00,4.075
241,2.00,4.074
243,2.00,4.072
245,2.00,4.071
247,2.00,4.070
249,2.00,4.070
251,2.00,4.070
253,2.00,4.070
255,2.00,4.070
257,2.00,4.070
259,2.00,4.070
261,2.00,4.070
263,2.00,4.070
265,2.00,4.070
267,2.00,4.070
269,2.00,4.070
271,2.00,4.070
273,2.00,4.070
275,2.00,4.070
277,2.00,4.070
279,2.00,4.069
281,2.00,4.068
283,2.00,4.066
285,2.00,4.065
287,2.00,4.064
289,2.00,4.063
291,2.00,4.063
293,2.00,4.063
295,2.00,4.063
297,2.00,4.063
299,2.00,4.063
301,2.00,4.063
303,2.00,4.063
305,2.00,4.063
307,2.00,4.063
309,2.00,4.063
311,2.00,4.063
313,2.00,4.062
315,2.00,4.062
317,2.00,4.062
319,2.00,4.062
321,2.00,4.062
323,2.00,4.062
325,2.00,4.062
327,2.00,4.062
329,2.00,4.062
331,2.00,4.061
333,2.00,4.060
335,2.00,4.060
337,2.00,4.059
339,2.00,4.057
341,2.00,4.056
343,2.00,4.056
345,2.00,4.056
347,2.00,4.056
349,2.00,4.056
351,2.00,4.056
353,2.00,4.056
355,2.00,4.056
357,2.00,4.056
359,2.00,4.056
361,2.00,4.056
363,2.00,4.056
365,2.00,4.056
367,2.00,4.056
369,2.00,4.056
371,2.00,4.055
373,2.00,4.055
375,2.00,4.055
377,2.00,4.055
379,2.00,4.055
381,2.00,4.055
383,2.00,4.055
385,2.00,4.055
387,2.00,4.055
389,2.00,4.054
391,2.00,4.053
393,2.00,4.052
395,2.00,4.051
397,2.00,4.050
399,2.00,4.049
401,2.00,4.049
403,2.00,4.049
405,2.00,4.049
407,2.00,4.049
409,2.00,4.049
411,2.00,4.049
413,2.00,4.049
415,2.00,4.049
417,2.00,4.049
419,2.00,4.049
421,2.00,4.049
423,2.00,4.049
425,2.00,4.049
427,2.00,4.049
429,2.00,4.049
431,2.00,4.049
433,2.00,4.049
435,2.00,4.049
437,2.00,4.049
439,2.00,4.049
441,2.00,4.048
443,2.00,4.048
445,2.00,4.048
447,2.00,4.048
449,2.00,4.048
451,2.00,4.048
453,2.00,4.048
455,2.00,4.048
457,2.00,4.048
459,2.00,4.048
461,2.00,4.048
463,2.00,4.048
465,2.00,4.047
467,2.00,4.046
469,2.00,4.046
471,2.00,4.045
473,2.00,4.044
475,2.00,4.043
477,2.00,4.042
479,2.00,4.042
481,2.00,4.041
483,2.00,4.041
485,2.00,4.041
487,2.00,4.041
489,2.00,4.041
491,2.00,4.041
493,2.00,4.041
495,2.00,4.041
497,2.00,4.041
499,2.00,4.041
501,2.00,4.041
503,2.00,4.041
505,2.00,4.041
507,2.00,4.041
509,2.00,4.041
511,2.00,4.041
513,2.00,4.041
515,2.00,4.041
517,2.00,4.041
519,2.00,4.041
521,2.00,4.041
523,2.00,4.041
525,2.00,4.040
527,2.00,4.041
529,2.00,4.040
531,2.00,4.040
533,2.00,4.040
535,2.00,4.040
537,2.00,4.040
539,2.00,4.040
541,2.00,4.040
543,2.00,4.040
545,2.00,4.040
547,2.00,4.040
549,2.00,4.040
551,2.00,4.040
553,2.00,4.040
555,2.00,4.039
557,2.00,4.039
559,2.00,4.038
561,2.00,4.038
563,2.00,4.038
565,2.00,4.037
567,2.00,4.037
569,2.00,4.036
571,2.00,4.035
