-----------EB Tester Software-----------
Device:EBC-A20
Mode:D-CC  3.00A  2.40V
Begin Volt:2.945V
Cutoff Volt:2.398V
Capacity:53mAh
Energy:138mWh
Avg Volt:2.60V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,2.937
0,0.00,2.937
1,2.00,2.988
3,2.00,2.996
5,2.00,3.006
7,2.00,3.017
9,2.00,3.024
11,2.00,3.031
13,2.00,3.039
15,2.00,3.046
17,2.00,3.053
19,2.00,3.057
21,2.00,3.062
23,2.00,3.069
25,2.00,3.075
27,2.00,3.083
29,2.00,3.084
31,2.00,3.091
33,2.00,3.097
35,2.00,3.098
37,2.00,3.105
39,2.00,3.112
41,2.00,3.113
43,2.00,3.119
45,2.00,3.124
47,2.00,3.127
49,2.00,3.133
51,2.00,3.135
53,2.00,3.141
55,2.00,3.142
57,2.00,3.148
59,2.00,3.149
61,2.00,3.156
63,2.00,3.157
65,2.00,3.163
67,2.00,3.164
69,2.00,3.170
71,2.00,3.171
73,2.00,3.178
75,2.00,3.179
77,2.00,3.183
79,2.00,3.185
81,2.00,3.186
83,2.00,3.192
85,2.00,3.193
87,2.00,3.200
89,2.00,3.200
91,2.00,3.200
93,2.00,3.207
95,2.00,3.208
97,2.00,3.212
99,2.00,3.214
101,2.00,3.215
103,2.00,3.222
105,2.00,3.222
107,2.00,3.222
109,2.00,3.229
111,2.00,3.230
113,2.00,3.230
115,2.00,3.236
117,2.00,3.236
119,2.00,3.237
121,2.00,3.243
123,2.00,3.243
125,2.00,3.244
127,2.00,3.250
129,2.00,3.251
131,2.00,3.252
133,2.00,3.254
135,2.00,3.258
137,2.00,3.259
139,2.00,3.259
141,2.00,3.261
143,2.00,3.265
145,2.00,3.266
147,2.00,3.271
149,2.00,3.273
151,2.00,3.274
153,2.00,3.274
155,2.00,3.279
157,2.00,3.280
159,2.00,3.281
161,2.00,3.281
163,2.00,3.287
165,2.00,3.287
167,2.00,3.288
169,2.00,3.288
171,2.00,3.300
173,2.00,3.300
175,2.00,3.300
177,2.00,3.300
179,1.96,3.300
181,1.87,3.300
183,1.80,3.300
185,1.73,3.300
187,1.67,3.300
189,1.61,3.300
191,1.56,3.300
193,1.52,3.300
195,1.47,3.300
197,1.42,3.300
199,1.39,3.300
201,1.35,3.300
203,1.32,3.300
205,1.28,3.300
207,1.25,3.300
209,1.22,3.300
211,1.19,3.300
213,1.16,3.300
215,1.13,3.300
217,1.10,3.300
219,1.08,3.300
221,1.06,3.300
223,1.04,3.300
225,1.01,3.300
227,0.99,3.300
229,0.97,3.300
231,0.95,3.300
233,0.93,3.300
235,0.91,3.300
237,0.89,3.300
239,0.88,3.300
241,0.86,3.300
243,0.85,3.300
245,0.82,3.300
247,0.81,3.300
249,0.79,3.300
251,0.78,3.300
253,0.77,3.300
255,0.75,3.300
257,0.74,3.300
259,0.72,3.300
261,0.71,3.300
263,0.70,3.300
265,0.68,3.300
267,0.68,3.300
269,0.66,3.300
271,0.65,3.300
273,0.64,3.300
275,0.63,3.300
277,0.62,3.300
279,0.61,3.300
281,0.60,3.300
283,0.59,3.300
285,0.58,3.300
287,0.57,3.300
289,0.56,3.300
291,0.56,3.300
293,0.54,3.300
295,0.53,3.300
297,0.52,3.300
299,0.52,3.300
301,0.51,3.300
303,0.50,3.300
305,0.49,3.300
307,0.48,3.300
309,0.48,3.300
311,0.47,3.300
313,0.47,3.300
315,0.46,3.300
317,0.45,3.300
319,0.44,3.300
321,0.44,3.300
323,0.44,3.300
325,0.42,3.300
327,0.42,3.300
329,0.41,3.300
331,0.41,3.300
333,0.40,3.300
335,0.40,3.300
337,0.39,3.300
339,0.39,3.300
341,0.38,3.300
343,0.38,3.300
345,0.37,3.300
347,0.37,3.300
349,0.36,3.300
351,0.35,3.300
353,0.35,3.300
355,0.35,3.300
357,0.34,3.300
359,0.33,3.300
361,0.33,3.300
363,0.33,3.300
365,0.33,3.300
367,0.32,3.300
369,0.32,3.300
371,0.31,3.300
373,0.31,3.300
375,0.31,3.300
377,0.30,3.300
379,0.30,3.300
381,0.29,3.300
383,0.29,3.300
385,0.29,3.300
387,0.29,3.300
389,0.28,3.300
391,0.28,3.300
393,0.27,3.300
395,0.27,3.300
397,0.27,3.300
399,0.27,3.300
401,0.27,3.300
403,0.26,3.300
405,0.26,3.300
407,0.25,3.300
409,0.25,3.300
411,0.25,3.300
413,0.25,3.300
415,0.24,3.300
417,0.24,3.300
419,0.24,3.300
421,0.23,3.300
423,0.23,3.300
425,0.23,3.300
427,0.23,3.300
429,0.23,3.300
431,0.23,3.300
433,0.22,3.300
435,0.22,3.300
437,0.21,3.300
439,0.21,3.300
441,0.21,3.300
443,0.21,3.300
445,0.21,3.300
447,0.21,3.300
449,0.21,3.300
451,0.20,3.300
451,0.20,3.300
451,0.20,3.300
453,0.00,3.300
455,0.00,3.300
457,0.00,3.300
459,0.00,3.300
461,0.00,3.300
463,0.00,3.300
465,0.00,3.300
467,0.00,3.300
469,0.00,3.300
471,0.00,3.294
473,0.00,3.293
475,0.00,3.292
477,0.00,3.291
479,0.00,3.289
481,0.00,3.289
483,0.00,3.288
485,0.00,3.288
487,0.00,3.288
489,0.00,3.288
491,0.00,3.288
493,0.00,3.288
495,0.00,3.288
497,0.00,3.288
499,0.00,3.288
501,0.00,3.288
503,0.00,3.288
505,0.00,3.288
507,0.00,3.288
509,0.00,3.288
511,0.00,3.288
513,0.00,3.288
515,0.00,3.288
517,3.00,3.230
519,3.00,3.222
521,3.00,3.216
523,3.00,3.213
525,3.00,3.208
527,3.00,3.200
529,3.00,3.195
531,3.00,3.192
533,3.00,3.186
535,3.00,3.183
537,3.00,3.179
539,3.00,3.171
541,3.00,3.169
543,3.00,3.164
545,3.00,3.157
547,3.00,3.156
549,3.00,3.149
551,3.00,3.142
553,3.00,3.141
555,3.00,3.135
557,3.00,3.129
559,3.00,3.126
561,3.00,3.120
563,3.00,3.116
565,3.00,3.113
567,3.00,3.105
569,3.00,3.102
571,3.00,3.098
573,3.00,3.091
575,3.00,3.086
577,3.00,3.083
579,3.00,3.076
581,3.00,3.071
583,3.00,3.068
585,3.00,3.062
587,3.00,3.054
589,3.00,3.053
591,3.00,3.047
593,3.00,3.040
595,3.00,3.038
597,3.00,3.031
599,3.00,3.025
601,3.00,3.020
603,3.00,3.016
